"Name_submitted","refID_tax","source","link","lifeform","origin","group_renato","obs","uses","UTEndUseLookup","UTEndUseName","international","national","other","subsistence","internal_taxon_id"
"Swietenia macrophylla",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: Planted as a lawn tree in peninsular Malaysia. | Shade or shelter: S. macrophylla is used as a shade tree, for example, for young plantations of dipterocarps. | Medicine: Various medicinal uses of parts of the tree are reported from Central America. | Gum or resin: A gum is produced from cuts in the bark for markets in Bombay, India, it is marketed in both pure form and mixed with other gums. | Timber: The high value attached to S. macrophylla wood in the international markets is well known. The heartwood is red-brown in appearance. The density of the wood of plantation-grown trees is often somewhat less than that of trees from the forest in the natural area of distribution and weighs 485-840 kg/m? at 12% mc. The wood has been used in interior panelling, joinery work, turnery, furniture, plywood and heavy construction work. Veneer quality is limited by colour variation, wavy grain, pin knots and pinhole borer damage. | Lipids: An oil that might be of some commercial value can be extracted from the seed kernels. | S. macrophylla has been used in reforestation projects and has proved to be suitable in areas not protected from grazing.","lipids",1,NA,"true","false",NA,"true","sp4550"
"Swietenia macrophylla",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: Planted as a lawn tree in peninsular Malaysia. | Shade or shelter: S. macrophylla is used as a shade tree, for example, for young plantations of dipterocarps. | Medicine: Various medicinal uses of parts of the tree are reported from Central America. | Gum or resin: A gum is produced from cuts in the bark for markets in Bombay, India, it is marketed in both pure form and mixed with other gums. | Timber: The high value attached to S. macrophylla wood in the international markets is well known. The heartwood is red-brown in appearance. The density of the wood of plantation-grown trees is often somewhat less than that of trees from the forest in the natural area of distribution and weighs 485-840 kg/m? at 12% mc. The wood has been used in interior panelling, joinery work, turnery, furniture, plywood and heavy construction work. Veneer quality is limited by colour variation, wavy grain, pin knots and pinhole borer damage. | Lipids: An oil that might be of some commercial value can be extracted from the seed kernels. | S. macrophylla has been used in reforestation projects and has proved to be suitable in areas not protected from grazing.","ornamental",13,NA,"true","false",NA,"false","sp4550"
"Swietenia macrophylla",NA,"wikipedia","https://en.wikipedia.org/wiki/Swietenia_macrophylla","tree","neotropical","cultivated",NA,"medicinal",3,NA,"false","false",NA,"true","sp4550"
"Swietenia macrophylla",NA,"Sistema Nacional de Informações Florestais","http://snif.florestal.gov.br/pt-br/especies-florestais","tree","Brazil",NA,"Especies madeireiras de interesse comercial: lista com algumas das especies madeireiras mais comercializadas no Brasil, elaborada pela Equipe de Anatomia do Laboratório de Produtos Florestais do Serviço Florestal Brasileiro,  em 2010.","timber",9,NA,"false","true",NA,"false","sp4550"
"Cedrela odorata",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: C. odorata is sometimes planted as an ornamental along roads and in parks, for example, in peninsular Malaysia, Papua New Guinea and Singapore. | Shade or shelter: As the trees have many low branches and a spreading crown, they are used for shade and as a windbreak in courtyard gardens and in cocoa and coffee plantations. | Medicine: Root and trunk bark is used to reduce fever and pain; the trunk is harvested to prepare a decoction for abortion; seeds are believed to have vermifugal properties. | Fibre: In Papua New Guinea, the bark has been used for twine. Kraft pulping tests give a low yield of 54%, with a Kappa number of 71 and low brightness. | Timber: C. odorata is a lightweight and comparatively soft wood. The heartwood is pale creamy immediately after sawing, turning pinkish-brown upon exposure, and is clearly demarcated from the narrow band of sapwood. Heartwood is rated as moderately durable and moderately resistant to termites, but the sapwood is susceptible to staining and powder post beetles and is not durable. The density is 410-525 kg/cubic m at 12% mc. The grain is usually interlocked, sometimes straight or woolly, indicating the presence of tension wood; texture moderately fine to moderately coarse; the grain pattern is attractive in flat sown boards. Freshly cut wood has a distinct onionlike odour, which disappears after 2-3 days. It is easy to work, saws, bores, turns and sands without problems and produces a good finish; it is easy to glue. However, growth stresses may cause severe end splitting of logs and warping and splitting during saw milling. Tests in Samoa showed that the timber can be rotary peeled without pretreatment with good results, producing attractively patterned veneer; veneer slicing also gave good results. The wood is difficult to treat with preservatives, even by a pressure treatment. A premier timber for furniture, decorative veneer, musical instruments, wooden novelties and doors. The best known use of cedar timber is for cigar boxes, but it is also used for light construction, mouldings, cabinets, furniture, panelling, boxes, exterior joinery, weather boards, louvred doors, boat building (especially racing boats), canoes, musical instruments, turnery, matchboxes, household implements, face veneer and plywood. Lower grades are suitable for crates, fencing and animal pens. The repellent smell of the wood to insects makes it particularly suitable for the manufacture of clothing chests and wardrobes. | A good firewood species.","ornamental",13,NA,"true","false",NA,"false","sp646"
"Cedrela odorata",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: C. odorata is sometimes planted as an ornamental along roads and in parks, for example, in peninsular Malaysia, Papua New Guinea and Singapore. | Shade or shelter: As the trees have many low branches and a spreading crown, they are used for shade and as a windbreak in courtyard gardens and in cocoa and coffee plantations. | Medicine: Root and trunk bark is used to reduce fever and pain; the trunk is harvested to prepare a decoction for abortion; seeds are believed to have vermifugal properties. | Fibre: In Papua New Guinea, the bark has been used for twine. Kraft pulping tests give a low yield of 54%, with a Kappa number of 71 and low brightness. | Timber: C. odorata is a lightweight and comparatively soft wood. The heartwood is pale creamy immediately after sawing, turning pinkish-brown upon exposure, and is clearly demarcated from the narrow band of sapwood. Heartwood is rated as moderately durable and moderately resistant to termites, but the sapwood is susceptible to staining and powder post beetles and is not durable. The density is 410-525 kg/cubic m at 12% mc. The grain is usually interlocked, sometimes straight or woolly, indicating the presence of tension wood; texture moderately fine to moderately coarse; the grain pattern is attractive in flat sown boards. Freshly cut wood has a distinct onionlike odour, which disappears after 2-3 days. It is easy to work, saws, bores, turns and sands without problems and produces a good finish; it is easy to glue. However, growth stresses may cause severe end splitting of logs and warping and splitting during saw milling. Tests in Samoa showed that the timber can be rotary peeled without pretreatment with good results, producing attractively patterned veneer; veneer slicing also gave good results. The wood is difficult to treat with preservatives, even by a pressure treatment. A premier timber for furniture, decorative veneer, musical instruments, wooden novelties and doors. The best known use of cedar timber is for cigar boxes, but it is also used for light construction, mouldings, cabinets, furniture, panelling, boxes, exterior joinery, weather boards, louvred doors, boat building (especially racing boats), canoes, musical instruments, turnery, matchboxes, household implements, face veneer and plywood. Lower grades are suitable for crates, fencing and animal pens. The repellent smell of the wood to insects makes it particularly suitable for the manufacture of clothing chests and wardrobes. | A good firewood species.","medicinal",3,NA,"true","false",NA,"true","sp646"
"Cedrela odorata",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: C. odorata is sometimes planted as an ornamental along roads and in parks, for example, in peninsular Malaysia, Papua New Guinea and Singapore. | Shade or shelter: As the trees have many low branches and a spreading crown, they are used for shade and as a windbreak in courtyard gardens and in cocoa and coffee plantations. | Medicine: Root and trunk bark is used to reduce fever and pain; the trunk is harvested to prepare a decoction for abortion; seeds are believed to have vermifugal properties. | Fibre: In Papua New Guinea, the bark has been used for twine. Kraft pulping tests give a low yield of 54%, with a Kappa number of 71 and low brightness. | Timber: C. odorata is a lightweight and comparatively soft wood. The heartwood is pale creamy immediately after sawing, turning pinkish-brown upon exposure, and is clearly demarcated from the narrow band of sapwood. Heartwood is rated as moderately durable and moderately resistant to termites, but the sapwood is susceptible to staining and powder post beetles and is not durable. The density is 410-525 kg/cubic m at 12% mc. The grain is usually interlocked, sometimes straight or woolly, indicating the presence of tension wood; texture moderately fine to moderately coarse; the grain pattern is attractive in flat sown boards. Freshly cut wood has a distinct onionlike odour, which disappears after 2-3 days. It is easy to work, saws, bores, turns and sands without problems and produces a good finish; it is easy to glue. However, growth stresses may cause severe end splitting of logs and warping and splitting during saw milling. Tests in Samoa showed that the timber can be rotary peeled without pretreatment with good results, producing attractively patterned veneer; veneer slicing also gave good results. The wood is difficult to treat with preservatives, even by a pressure treatment. A premier timber for furniture, decorative veneer, musical instruments, wooden novelties and doors. The best known use of cedar timber is for cigar boxes, but it is also used for light construction, mouldings, cabinets, furniture, panelling, boxes, exterior joinery, weather boards, louvred doors, boat building (especially racing boats), canoes, musical instruments, turnery, matchboxes, household implements, face veneer and plywood. Lower grades are suitable for crates, fencing and animal pens. The repellent smell of the wood to insects makes it particularly suitable for the manufacture of clothing chests and wardrobes. | A good firewood species.","timber",9,NA,"true","false",NA,"false","sp646"
"Cedrela odorata",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: C. odorata is sometimes planted as an ornamental along roads and in parks, for example, in peninsular Malaysia, Papua New Guinea and Singapore. | Shade or shelter: As the trees have many low branches and a spreading crown, they are used for shade and as a windbreak in courtyard gardens and in cocoa and coffee plantations. | Medicine: Root and trunk bark is used to reduce fever and pain; the trunk is harvested to prepare a decoction for abortion; seeds are believed to have vermifugal properties. | Fibre: In Papua New Guinea, the bark has been used for twine. Kraft pulping tests give a low yield of 54%, with a Kappa number of 71 and low brightness. | Timber: C. odorata is a lightweight and comparatively soft wood. The heartwood is pale creamy immediately after sawing, turning pinkish-brown upon exposure, and is clearly demarcated from the narrow band of sapwood. Heartwood is rated as moderately durable and moderately resistant to termites, but the sapwood is susceptible to staining and powder post beetles and is not durable. The density is 410-525 kg/cubic m at 12% mc. The grain is usually interlocked, sometimes straight or woolly, indicating the presence of tension wood; texture moderately fine to moderately coarse; the grain pattern is attractive in flat sown boards. Freshly cut wood has a distinct onionlike odour, which disappears after 2-3 days. It is easy to work, saws, bores, turns and sands without problems and produces a good finish; it is easy to glue. However, growth stresses may cause severe end splitting of logs and warping and splitting during saw milling. Tests in Samoa showed that the timber can be rotary peeled without pretreatment with good results, producing attractively patterned veneer; veneer slicing also gave good results. The wood is difficult to treat with preservatives, even by a pressure treatment. A premier timber for furniture, decorative veneer, musical instruments, wooden novelties and doors. The best known use of cedar timber is for cigar boxes, but it is also used for light construction, mouldings, cabinets, furniture, panelling, boxes, exterior joinery, weather boards, louvred doors, boat building (especially racing boats), canoes, musical instruments, turnery, matchboxes, household implements, face veneer and plywood. Lower grades are suitable for crates, fencing and animal pens. The repellent smell of the wood to insects makes it particularly suitable for the manufacture of clothing chests and wardrobes. | A good firewood species.","fuel",7,NA,"true","false",NA,"false","sp646"
"Cedrela odorata",NA,"Mark, J., Newton, A.C, Oldfield, S. & Rivers, M. (2014). The International Timber Trade: A Working List of Commercial Timber Tree Species.  Botanic Gardens Conservation International, Richmond, UK. 56p.","https://www.bgci.org/resources/bgci-tools-and-resources/a-working-list-of-commercial-timber-tree-species/","tree",NA,NA,"list provided by GTA. Note: I haven’t updated it for taxonomy so there might be some issues","timber",9,NA,"true","false",NA,"false","sp646"
"Cedrela odorata",NA,"Sistema Nacional de Informações Florestais","http://snif.florestal.gov.br/pt-br/especies-florestais","tree","Brazil",NA,"Especies madeireiras de interesse comercial: lista com algumas das especies madeireiras mais comercializadas no Brasil, elaborada pela Equipe de Anatomia do Laboratório de Produtos Florestais do Serviço Florestal Brasileiro,  em 2010.","timber",9,NA,"false","true",NA,"false","sp646"
"Cedrela odorata",NA,"Brazilian Woods database","http://sistemas.florestal.gov.br/madeirasdobrasil","tree","Brazil",NA,NA,"timber",9,NA,"false","true",NA,"false","sp646"
"Cedrela odorata",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: C. odorata is sometimes planted as an ornamental along roads and in parks, for example, in peninsular Malaysia, Papua New Guinea and Singapore. | Shade or shelter: As the trees have many low branches and a spreading crown, they are used for shade and as a windbreak in courtyard gardens and in cocoa and coffee plantations. | Medicine: Root and trunk bark is used to reduce fever and pain; the trunk is harvested to prepare a decoction for abortion; seeds are believed to have vermifugal properties. | Fibre: In Papua New Guinea, the bark has been used for twine. Kraft pulping tests give a low yield of 54%, with a Kappa number of 71 and low brightness. | Timber: C. odorata is a lightweight and comparatively soft wood. The heartwood is pale creamy immediately after sawing, turning pinkish-brown upon exposure, and is clearly demarcated from the narrow band of sapwood. Heartwood is rated as moderately durable and moderately resistant to termites, but the sapwood is susceptible to staining and powder post beetles and is not durable. The density is 410-525 kg/cubic m at 12% mc. The grain is usually interlocked, sometimes straight or woolly, indicating the presence of tension wood; texture moderately fine to moderately coarse; the grain pattern is attractive in flat sown boards. Freshly cut wood has a distinct onionlike odour, which disappears after 2-3 days. It is easy to work, saws, bores, turns and sands without problems and produces a good finish; it is easy to glue. However, growth stresses may cause severe end splitting of logs and warping and splitting during saw milling. Tests in Samoa showed that the timber can be rotary peeled without pretreatment with good results, producing attractively patterned veneer; veneer slicing also gave good results. The wood is difficult to treat with preservatives, even by a pressure treatment. A premier timber for furniture, decorative veneer, musical instruments, wooden novelties and doors. The best known use of cedar timber is for cigar boxes, but it is also used for light construction, mouldings, cabinets, furniture, panelling, boxes, exterior joinery, weather boards, louvred doors, boat building (especially racing boats), canoes, musical instruments, turnery, matchboxes, household implements, face veneer and plywood. Lower grades are suitable for crates, fencing and animal pens. The repellent smell of the wood to insects makes it particularly suitable for the manufacture of clothing chests and wardrobes. | A good firewood species.","fibres",8,NA,"true","false",NA,"false","sp646"
"Cestrum parqui",NA,"wikipedia","https://en.wikipedia.org/wiki/Cestrum_parqui","shrub","chile","cultivated","religious","medicinal",3,NA,"false","false",NA,"true","sp687"
"Chrysobalanus icaco",NA,"https://en.wikipedia.org/wiki/Chrysobalanus_icaco","https://en.wikipedia.org/wiki/Chrysobalanus_icaco","tree","pantropical",NA,"invasive in some Pacific Islands","medicinal",3,NA,"false","false",NA,"true","sp769"
"Melanopsidium nigrum",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Medicine: Over half the harvested bark is utilized in the manufacture of the quinine prescription drug. In Brazilian herbal medicine quinine bark is considered tonic, stomachic, and febrifuge. It is used for anemia, indigestion, gastrointestinal disorders, general fatigue, fevers, malaria and as an appetite stimulant. Other folk remedies in South America cite quinine bark as a natural remedy for cancer (breast, glands, liver, mesentery, spleen), amoebiasis, cardidtis, colds, diarrhea, dysentery, dyspepsia, fevers, flu, hangover, lumbago, malaria, neuralgia, pneumonia, sciatica, typhoid, and varicose veins. In European herbal medicine the bark is considered antiprotozoal, antispasmodic, antimalarial, a bitter tonic, and febrifuge. There it is used as an appetite stimulant, for hair loss, alcoholism, liver, spleen, and gallbladder disorders; and to treat arrhythmia, anemia, leg cramps and fevers of all kinds. Although all cinchona species are good sources of quinine, C. succirubra and C. ledgeriana are the species containing the highest amount of quinine alkaloids. | Nearly half of the harvested bark is directed to the food industry for the production of quinine water, tonic water, and as an FDA-approved bitter food additive.","medicinal",3,NA,"true","false",NA,"true","sp2604"
"Melanopsidium nigrum",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Medicine: Over half the harvested bark is utilized in the manufacture of the quinine prescription drug. In Brazilian herbal medicine quinine bark is considered tonic, stomachic, and febrifuge. It is used for anemia, indigestion, gastrointestinal disorders, general fatigue, fevers, malaria and as an appetite stimulant. Other folk remedies in South America cite quinine bark as a natural remedy for cancer (breast, glands, liver, mesentery, spleen), amoebiasis, cardidtis, colds, diarrhea, dysentery, dyspepsia, fevers, flu, hangover, lumbago, malaria, neuralgia, pneumonia, sciatica, typhoid, and varicose veins. In European herbal medicine the bark is considered antiprotozoal, antispasmodic, antimalarial, a bitter tonic, and febrifuge. There it is used as an appetite stimulant, for hair loss, alcoholism, liver, spleen, and gallbladder disorders; and to treat arrhythmia, anemia, leg cramps and fevers of all kinds. Although all cinchona species are good sources of quinine, C. succirubra and C. ledgeriana are the species containing the highest amount of quinine alkaloids. | Nearly half of the harvested bark is directed to the food industry for the production of quinine water, tonic water, and as an FDA-approved bitter food additive.","food",1,NA,"true","false",NA,"true","sp2604"
"Eugenia uniflora",NA,"wikipedia","https://en.wikipedia.org/wiki/Eugenia_uniflora","tree","eastern_south_america","cultivated",NA,"medicinal",3,NA,"false","false",NA,"true","sp1747"
