"internal_taxon_id","Name_submitted","family","genus","species.correct","taxon.rank","life.form.reflora","habitat.reflora","vegetation.type.reflora","ordem.spp","establishment","habito","life.form","MaxHeight","GF","wsg","ecol.group","SeedMass_g","dispersal.syndrome","str.match","GL","DBH","p.est","p.ci","N","dbh.crit","p"
"sp11","Abarema turbinata","Fabaceae","Abarema","Abarema turbinata","species","Arbusto|Árvore","Terrícola","Restinga",11,"native","tree","Woody tree (Tree or shrub)",8,"small_tree",0.578571037083333,"unknown",0.229852847846154,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp12","Abarema villosa","Fabaceae","Abarema","Abarema villosa","species","Arbusto|Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",12,"native","tree","Woody tree (Tree or shrub)",4,"large_shrub",0.578571037083333,"unknown",0.229852847846154,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp13","Abatia americana","Salicaceae","Abatia","Abatia americana","species","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",13,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.638241,"unknown",NA,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp14","Abutilon grandifolium","Malvaceae","Abutilon","Abutilon grandifolium","species","Arbusto","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",14,"native","shrub","Woody tree (Tree or shrub)",5,"small_tree",0.431993485211382,"unknown",0.0032,NA,"unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp15","Abutilon ramiflorum","Malvaceae","Abutilon","Abutilon ramiflorum","species","Arbusto","Terrícola","Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",15,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.431993485211382,"unknown",0.0108523014074074,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp16","Acalypha brasiliensis","Euphorbiaceae","Acalypha","Acalypha brasiliensis","species","Arbusto|Subarbusto","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos",16,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.3,"unknown",0.0016601442,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp17","Acalypha communis","Euphorbiaceae","Acalypha","Acalypha communis","species","Arbusto|Erva|Subarbusto","Terrícola","Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Vegetação Sobre Afloramentos Rochosos",17,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.3,"unknown",0.0016601442,"autochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp18","Acalypha cuneata","Euphorbiaceae","Acalypha","Acalypha cuneata","species","Arbusto|Árvore","Terrícola","Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)",18,"native","tree","Woody tree (Shrub or treelet)",4,"large_shrub",0.3,"unknown",0.0016601442,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp19","Acalypha diversifolia","Euphorbiaceae","Acalypha","Acalypha diversifolia","species","Arbusto|Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",19,"native","tree","Woody tree (Shrub or treelet)",4.9,"large_shrub",0.3,"unknown",0.0016601442,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp20","Acalypha gracilis","Euphorbiaceae","Acalypha","Acalypha gracilis","species","Arbusto|Subarbusto","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",20,"native","shrub","Woody tree (Shrub or treelet)",2,"large_shrub",0.3,"early_secondary",0.0016601442,"autochoric","early_secondary_large_shrub",20,5,1,"0.975-1.075",NA,NA,NA
"sp21","Acalypha macrostachya","Euphorbiaceae","Acalypha","Acalypha macrostachya","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",21,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.3,"early_secondary",0.0016601442,"autochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp22","Acalypha multicaulis","Euphorbiaceae","Acalypha","Acalypha multicaulis","species","Arbusto|Erva|Subarbusto","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",22,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.3,"early_secondary",0.0016601442,NA,"early_secondary_large_shrub",20,5,1,"0.975-1.075",NA,NA,NA
"sp23","Acalypha villosa","Euphorbiaceae","Acalypha","Acalypha villosa","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",23,"native","tree","Woody tree (Shrub or treelet)",7,"small_tree",0.3,"early_secondary",0.0016601442,"zoochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp24","Acanthocladus brasiliensis","Polygalaceae","Acanthocladus","Acanthocladus brasiliensis","species","Arbusto|Subarbusto","Terrícola",NA,24,"native","shrub","Woody tree (Shrub or treelet)",3.1,"large_shrub",0.66,"late_secondary",NA,"zoochoric","late_secondary_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp25","Acanthocladus dichromus","Polygalaceae","Acanthocladus","Acanthocladus dichromus","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Floresta Estacional Semidecidual",25,"native","tree","Woody tree (Tree or shrub)",5.9,"small_tree",0.66,"unknown",NA,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp26","Acanthocladus pulcherrimus","Polygalaceae","Acanthocladus","Acanthocladus pulcherrimus","species","Arbusto|Árvore","Terrícola",NA,26,"native","tree","Woody tree (Tree or shrub)",8.2,"small_tree",0.66,"early_secondary",NA,"zoochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp27","Acanthocladus santosii","Polygalaceae","Acanthocladus","Acanthocladus santosii","species","Arbusto|Árvore","Terrícola",NA,27,"native","tree","Woody tree (Tree)",8,"small_tree",0.66,"unknown",NA,NA,"unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp28","Acanthosyris paulo-alvinii","Santalaceae","Acanthosyris","Acanthosyris paulo-alvinii","species","Arbusto|Árvore","Hemiparasita","Cerrado (lato sensu)",28,"native","tree","Woody tree (Tree)",15,"large_tree",0.6,"unknown",33.3333333333333,NA,"unknown_large_tree",60,12.5,0.416,"0.3966-0.4353",NA,NA,NA
"sp29","Acanthosyris spinescens","Santalaceae","Acanthosyris","Acanthosyris spinescens","species","Arbusto|Árvore","Hemiparasita","Campo Limpo|Floresta Ciliar ou Galeria|Floresta Estacional Decidual",29,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.79,"pioneer",2.94117647058824,"zoochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp30","Accara elegans","Myrtaceae","Accara","Accara elegans","species","Arbusto|Árvore|Subarbusto","Terrícola","Campo Limpo|Campo rupestre",30,"native","shrub","Woody tree (Shrub or treelet)",NA,"small_tree",0.741152602841945,"unknown",NA,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp31","Achatocarpus praecox","Achatocarpaceae","Achatocarpus","Achatocarpus praecox","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual",31,"native","tree","Woody tree (Tree or shrub)",9.8,"small_tree",0.85,"late_secondary",NA,"zoochoric","late_secondary_small_tree",50,9,0.4143,"0.3494-0.4792",NA,NA,NA
"sp32","Acosmium diffusissimum","Fabaceae","Acosmium","Acosmium diffusissimum","species","Árvore","Rupícola|Terrícola","Caatinga (stricto sensu)|Floresta Estacional Decidual",32,"native","tree","Woody tree (Tree)",16,"large_tree",0.8125,"unknown",NA,NA,"unknown_large_tree",60,12.5,0.416,"0.3966-0.4353",NA,NA,NA
"sp33","Acosmium lentiscifolium","Fabaceae","Acosmium","Acosmium lentiscifolium","species","Árvore","Terrícola","Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",33,"native","tree","Woody tree (Tree)",19.1,"large_tree",0.8125,"early_secondary",0.0400449347855107,"anemochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",NA,NA,NA
"sp34","Acritopappus confertus","Asteraceae","Acritopappus","Acritopappus confertus","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",34,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.530140647804348,"unknown",NA,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp35","Acritopappus connatifolius","Asteraceae","Acritopappus","Acritopappus connatifolius","species","Arbusto|Árvore","Terrícola","Campo rupestre",35,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.530140647804348,"unknown",NA,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp36","Acritopappus heterolepis","Asteraceae","Acritopappus","Acritopappus heterolepis","species","Arbusto|Árvore","Terrícola","Campo rupestre",36,"native","tree","Woody tree (Shrub or treelet)",5,"small_tree",0.530140647804348,"unknown",NA,"anemochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp37","Acritopappus prunifolius","Asteraceae","Acritopappus","Acritopappus prunifolius","species","Árvore","Terrícola","Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",37,"native","tree","Woody tree (Shrub or treelet)",5,"small_tree",0.530140647804348,"unknown",NA,NA,"unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp38","Acrocomia aculeata","Arecaceae","Acrocomia","Acrocomia aculeata","species","Palmeira","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual",38,"native","tree","Solitary palm",18.58,"large_tree",0.781,"pioneer",10.6730758652311,"zoochoric","pioneer_large_tree",30,10,0.5931,"0.5224-0.6637",NA,NA,NA
"sp39","Acrocomia intumescens","Arecaceae","Acrocomia","Acrocomia intumescens","species","Palmeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",39,"native","tree","Solitary palm",9.6,"small_tree",1.5,"pioneer",10.6730758652311,"zoochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp40","Actinostemon appendiculatus","Euphorbiaceae","Actinostemon","Actinostemon appendiculatus","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",40,"native","tree","Woody tree (Tree)",13.8,"small_tree",0.907,"unknown",0.0218549862068965,"autochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",7,NA,NA
"sp41","Actinostemon concepcionis","Euphorbiaceae","Actinostemon","Actinostemon concepcionis","species","Arbusto|Subarbusto","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",41,"native","tree","Woody tree (Tree)",7.5,"small_tree",0.907,"late_secondary",0.0218549862068965,"autochoric","late_secondary_small_tree",50,9,0.4143,"0.3494-0.4792",535,9,0.0261682242990654
"sp42","Actinostemon concolor","Euphorbiaceae","Actinostemon","Actinostemon concolor","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga",42,"native","tree","Woody tree (Tree or shrub)",14.778,"small_tree",0.907,"late_secondary",0.0218549862068965,"autochoric","late_secondary_small_tree",50,9,0.4143,"0.3494-0.4792",383,9,0.16710182767624
"sp43","Actinostemon echinatus","Euphorbiaceae","Actinostemon","Actinostemon echinatus","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",43,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.907,"unknown",0.0218549862068965,"autochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp44","Actinostemon klotzschii","Euphorbiaceae","Actinostemon","Actinostemon klotzschii","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)",44,"native","tree","Woody tree (Tree or shrub)",9,"small_tree",0.907,"late_secondary",0.0218549862068965,"autochoric","late_secondary_small_tree",50,9,0.4143,"0.3494-0.4792",4,9,0
"sp45","Actinostemon roseliae","Euphorbiaceae","Actinostemon","Actinostemon roseliae","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",45,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.907,"unknown",0.0218549862068965,"autochoric","unknown_tree_unknown",50,10,0.454,"0.4362-0.4718",NA,NA,NA
"sp46","Actinostemon verticillatus","Euphorbiaceae","Actinostemon","Actinostemon verticillatus","species","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",46,"native","tree","Woody tree (Tree)",16,"large_tree",0.907,"late_secondary",0.0218549862068965,"autochoric","late_secondary_large_tree",65,15,0.3028,"0.2736-0.3321",45,15,0
"sp47","Adelia membranifolia","Euphorbiaceae","Adelia","Adelia membranifolia","species","Arbusto|Árvore","Terrícola","Floresta Estacional Decidual|Floresta Ombrófila (= Floresta Pluvial)",47,"native","tree","Woody tree (Tree)",5.7,"small_tree",0.543,"pioneer",0.1190686,"autochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp48","Adenocalymma subsessilifolium","Bignoniaceae","Adenocalymma","Adenocalymma subsessilifolium","species","Arbusto","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",48,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.70074934219802,"early_secondary",NA,"anemochoric","early_secondary_large_shrub",20,5,1,"0.975-1.075",NA,NA,NA
"sp49","Adenophaedra megalophylla","Euphorbiaceae","Adenophaedra","Adenophaedra megalophylla","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",49,"native","tree","Woody tree (Tree)",6.9,"small_tree",0.4,"unknown",NA,NA,"unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp50","Aegiphila australis","Lamiaceae","Aegiphila","Aegiphila australis","species","Arbusto|Árvore","Terrícola","Restinga",50,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.516714285714286,"unknown",0.0359617823072269,"zoochoric","unknown_tree_unknown",50,10,0.454,"0.4362-0.4718",NA,NA,NA
"sp51","Aegiphila brachiata","Lamiaceae","Aegiphila","Aegiphila brachiata","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",51,"native","tree","Woody tree (Tree or shrub)",8,"small_tree",0.516714285714286,"early_secondary",0.0359617823072269,"zoochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",6,8,0.666666666666667
"sp52","Aegiphila fluminensis","Lamiaceae","Aegiphila","Aegiphila fluminensis","species","Arbusto|Árvore|Liana/volúvel/trepadeira","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",52,"native","tree","Woody tree (Lianescent)",15.2,"large_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric","unknown_large_tree",60,12.5,0.416,"0.3966-0.4353",NA,NA,NA
"sp53","Aegiphila graveolens","Lamiaceae","Aegiphila","Aegiphila graveolens","species","Arbusto","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga",53,"native","shrub","Woody tree (Tree or shrub)",5,"small_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp54","Aegiphila integrifolia","Lamiaceae","Aegiphila","Aegiphila integrifolia","species","Arbusto|Árvore","Terrícola","Área Antrópica|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Savana Amazônica",54,"native","tree","Woody tree (Tree)",15,"large_tree",0.4859,"pioneer",0.0157311538461538,"zoochoric","pioneer_large_tree",30,10,0.5931,"0.5224-0.6637",29,10,0.413793103448276
"sp55","Aegiphila laevis","Lamiaceae","Aegiphila","Aegiphila laevis","species","Arbusto|Liana/volúvel/trepadeira","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",55,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.516714285714286,"unknown",0.06,"zoochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp56","Aegiphila luschnathii","Lamiaceae","Aegiphila","Aegiphila luschnathii","species","Arbusto|Árvore","Terrícola","Carrasco|Floresta Ombrófila (= Floresta Pluvial)|Restinga",56,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp57","Aegiphila mediterranea","Lamiaceae","Aegiphila","Aegiphila mediterranea","species","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",57,"native","tree","Woody tree (Tree)",8.9,"small_tree",0.516714285714286,"early_secondary",0.0359617823072269,"zoochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp58","Aegiphila novofriburgensis","Lamiaceae","Aegiphila","Aegiphila novofriburgensis","species","Arbusto","Terrícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)",58,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.516714285714286,"unknown",0.0359617823072269,"zoochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp59","Aegiphila obducta","Lamiaceae","Aegiphila","Aegiphila obducta","species","Arbusto|Árvore|Liana/volúvel/trepadeira","Terrícola","Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",59,"native","tree","Woody tree (Tree or shrub)",11.902,"small_tree",0.516714285714286,"pioneer",0.0359617823072269,"zoochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp60","Aegiphila pernambucensis","Lamiaceae","Aegiphila","Aegiphila pernambucensis","species","Arbusto|Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",60,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp61","Aegiphila racemosa","Lamiaceae","Aegiphila","Aegiphila racemosa","species","Arbusto|Liana/volúvel/trepadeira","Terrícola","Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",61,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.516714285714286,"unknown",0.0359617823072269,"zoochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp62","Aegiphila riedeliana","Lamiaceae","Aegiphila","Aegiphila riedeliana","species","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",62,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp63","Aegiphila verticillata","Lamiaceae","Aegiphila","Aegiphila verticillata","species","Arbusto|Árvore|Subarbusto","Terrícola","Caatinga (stricto sensu)|Campo de Altitude|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Savana Amazônica",63,"native","tree","Woody tree (Tree or shrub)",10.4,"small_tree",0.59375,"pioneer",0.0668481548699335,"zoochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp64","Aegiphila vitelliniflora","Lamiaceae","Aegiphila","Aegiphila vitelliniflora","species","Arbusto|Árvore|Liana/volúvel/trepadeira","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",64,"native","tree","Woody tree (Shrub or treelet)",4,"large_shrub",0.516714285714286,"early_secondary",0.0359617823072269,"zoochoric","early_secondary_large_shrub",20,5,1,"0.975-1.075",NA,NA,NA
"sp65","Aenigmatanthera lasiandra","Malpighiaceae","Aenigmatanthera","Aenigmatanthera lasiandra","species","Arbusto","Terrícola","Cerrado (lato sensu)",65,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.633954638716418,"unknown",NA,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp66","Aeschynomene ciliata","Fabaceae","Aeschynomene","Aeschynomene ciliata","species","Arbusto|Subarbusto","Aquática","Área Antrópica|Floresta Ciliar ou Galeria|Floresta de Igapó|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Aquática",66,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.689650309577778,"unknown",0.0107033016470588,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp67","Aeschynomene sensitiva","Fabaceae","Aeschynomene","Aeschynomene sensitiva","species","Subarbusto","Aquática","Área Antrópica|Floresta Ciliar ou Galeria|Vegetação Aquática",67,"native","shrub","Woody tree (Shrub or treelet)",3,"large_shrub",0.689650309577778,"unknown",0.007404,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp68","Agarista coriifolia","Ericaceae","Agarista","Agarista coriifolia","species","Arbusto|Subarbusto","Terrícola","Campo de Altitude|Campo rupestre",68,"native","shrub","Woody tree (Tree or shrub)",4.66,"large_shrub",0.731,"unknown",0.000946566666666667,"autochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp69","Agarista eucalyptoides","Ericaceae","Agarista","Agarista eucalyptoides","species","Arbusto|Árvore","Terrícola","Campo de Altitude|Campo rupestre|Vegetação Sobre Afloramentos Rochosos",69,"native","tree","Woody tree (Tree or shrub)",9.2,"small_tree",0.69,"early_secondary",0.002,"autochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp70","Agarista glaberrima","Ericaceae","Agarista","Agarista glaberrima","species","Arbusto|Árvore","Terrícola","Campo rupestre",70,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.643,"unknown",0.000946566666666667,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
