family,scientific.name,life.form,status,number of records,vouchers
Connaraceae,Rourea martiana Baker,shrub,probable occurrence in the AF,12,"Franca, F., 1844 (ALCB 58365, HUEFS 23863, SPF 152569); Franca, F., 1866 (HUEFS 23885, SPF 152568); Franca, F., 1985 (ESA 84255); Jardim, J.G., 3973 (HUEFS 62992); Melo, E., 1981 (ALCB 63821, HUEFS 26387, UEC 131048); Paula-Souza, J., 9376 (SPF 188012); Pirani, J.R., CFCR9060 (SPF 41220); Pirani, J.R., s.n. (MBM 181238); Pirani, J.R., s.n. (NY 922898); Queiroz, L.P, 7705 (HUEFS 70760); Rose, J.N., 19932 (NY 393575); Salino, A., 3706 (SPF 136260)"
Cunoniaceae,Lamanonia ulei (Engl.) L.B. Sm.,tree,no records found but cited in BF.2020,1,"Plowman, T.C., 12870 (NY 533109)"
Cyatheaceae,Alsophila cuspidata (Kunze) D.S.Conant,tree,no records found but cited in BF.2020,163,"Araya, F., s.n. (INB 1516360); Bittner, J., s.n. (INB 1585045); Burger, W., s.n. (CR 46156); Duarte, A.P, s.n. (RFA 13734); Folsom, James P., s.n. (CR 110399); Jones, M., s.n. (CR 241322); Jones, M., s.n. (CR 241323); Leprieur F.R., s.n. (BR 6715786); Leprieur, F.M.R., 137 (NY 148900, US 74236); Leprieur, F.M.R., s.n. (NY 148898); Leprieur, F.R., 137 (F 75654); Neill, D.A., s.n. (CR 125842); Nisman, C., s.n. (CR 43947); Nisman, C., s.n. (CR 43967); Perez, B., s.n. (CR 104079); Perez, B., s.n. (CR 106325); Perez, B., s.n. (CR 106374); Poeppig E.F., s.n. (BR 6716110); Poeppig E.F., s.n. (BR 6716158); Poeppig, E.F., s.n. (P 642359); Poeppig, E.F., s.n. (P 642360); Poeppig, E.F., s.n. (W 0053367); Scamman, E., s.n. (CR 112705); Sodiro, A., s.n. (P 633079); Sodiro, A., s.n. (P 633080); Tonduz A., 11307 (BR 6976507, US 472079, US 830433, US 830467); Tonduz A., 11307 (BR 6976804); Tonduz, A., 11307 (US 830432); Villalobos, N.A.Z., s.n. (INB 1515756); Wilbur, Robert L., s.n. (CR 210275)"
Cyatheaceae,Cyathea lasiosora (Kuhn) Domin,tree,no records found but cited in BF.2020,172,"Bisby, F.A., P18084 (INPA 41389); Buchtien, O., 292 (MO 2823187); Buchtien, O., 292 (US 1499147); Ernani, s.n. (PACA 71934); Killip, E.P., 28133 (US 1480024, US 1480025, US 1480026); Krieger, L., 12592 (INPA 54701); Krieger, L., CESJ12592 (CESJ 12592); Lleras, E., P17244 (INPA 40438); Lleras, E., P17436 (INPA 40632); Martius, C.F.P., s.n. (B 20 0000188); Martius, C.F.P., s.n. (NY 148719); Martius, C.F.P., s.n. (NY 148720); Mexia, Y., 6270 (MO 2056923); Prance, G.T., 10097 (INPA 27230); Prance, G.T., 14665 (INPA 32881); Prance, G.T., 23817 (INPA 63193); Prance, G.T., 9718 (INPA 26853); Salino, A., 405 (BHCB-SL 30537); Anonymous, 103 (HPUJ 10072); Spruce, R., 4249 (BM 937697); Spruce, R., 4249 (BM 937699); Spruce, R., 4249 (BM 937700); Spruce, R., 4349 (BM 937696); Spruce, R., 4349 (BM 937698); Spruce, R., 4349 (NY 148693, US 1121365, US 830590); Spruce, R., s.n. (G 353960/1); Strang, H.E., s.n. (BC 612467); Werff, H.D., 10096 (MO 8469); Werff, H.D., 10109 (MO 5497); Werff, H.D., 21701 (MO 3173476)"
Ericaceae,Agarista chapadensis (Kin.-Gouv.) Judd,tree,probable occurrence in the AF,18,"Anderson, W.R., 6502 (NY 748756, UB 1634); Curran, H.M., 199 (NY 390788); Irwin, H.S., 12862 (MO 2896468, NY 390786, UB 1635); Miranda, E.B., 176 (HUEFS 39139, UEC 131775); Mori, S.A., 12412 (CEPEC 16933, NY 390787, US 2864050); Munhoz, C.B.R., 431 (HEPH 13640, UB 24414); Munhoz, C.B.R., 489 (HEPH 13683, UB 24405); Munhoz, C.B.R., 621 (HEPH 13889, RB 495135, UB 24413); Queiroz, L.P, 5143 (HUEFS 36714, UEC 109349, UEC 131774); Queiroz, L.P, 5329 (HUEFS 36898, UEC 109350); Ratter, J.A., 7245V (UB 24406); Romao, G.O., 764 (ESA 76785, MBM 311503, SPF 173449); Romao, G.O., 765 (ESA 76784, MBM 311502, RB 423579, UEC 145538); Romao, G.O., 769 (RB 423584, SPF 173432, UEC 145532); Soares-Silva, L.H., 1004 (SPF 170037, UB 10209); Souza, V.C., 25996 (ESA 74247, SPF 173428, UEC 164449); Souza, V.C., 26201 (ESA 74452, MBM 311501, UEC 164722); Thomas, W.W., 9678 (CEPEC 58450, MO 3298762, NY 586011)"
Erythroxylaceae,Erythroxylum engleri O.E.Schulz,shrub,probable occurrence in the AF,94,"Amaral Junior, A., s.n. (BOTU 17997); Burchell, 7776 (K 407441); Burchell, 7928 (K 407442); Carmello, S.M., 3 (BOTU 18004); Glaziou, A., s.n. (P 141269); Glaziou, A., s.n. (P 723654); Glaziou, A.F.M., 18918 (B 12617); Glaziou, A.F.M., 18918 (K 407439); Gontijo, T.A., s.n. (BOTU 3250); Lindeman, J., 3227 (MBM 4297); Magalhaes, M., s.n. (ICN 015968); Norberto, F., 233 (MG 132324); Pereira, B.A.S., s.n. (MG 82861); Pires, J.M., s.n. (MG 58750); Plowman, T., s.n. (P 5576181); Pohl J.B.E., s.n. (BR 6997748); Pohl, J.B.E., 2156 (F 55723); Pohl, J.B.E., 2156 (F 55724); Pohl, J.B.E., s.n. (W 0018338); Queiroz, L.P., 2117 (UFRN 1374); Riedel L., 2628 (BR 6997618); Riedel L., 648 (BR 6997281); Riedel, 2628 (K 407440); Riedel, L., 648 (B 12635); Riedel, L., 648 (US 13870); Riedel, L., s.n. (NY 387188); Riedel, L., s.n. (W 1889-0062427); Santos, E.R., s.n. (UFP 81783); Santos, E.R., s.n. (VIC 24141); Santos, E.R., s.n. (VIC 27254)"
Erythroxylaceae,Erythroxylum laetevirens O.E.Schulz,shrub,probable occurrence in the AF,70,"Araujo, F.S., 1472 (EAC 33921, HUEFS 67463); Blanchet, 3155 (CEPEC 19344); Blanchet, 3155 (K 407445); Blanchet, J.S., 3155 (BM 795793, BM 795794, F 55689F); Blanchet, J.S., 3155 (G 353852); Blanchet, J.S., 3155 (G 353853); Blanchet, J.S., 3155 (G 353855); Blanchet, J.S., s.n. (G 256933/1); Blanchet, J.S., s.n. (G 256933/2); Blanchet, J.S., s.n. (G 256933/3); Carvalho, A.M.V., 503 (RB 203725); Froes, R.L., 11823 (NY 997213, US 1879703); Matos, M.Q., 67 (TEPB 27455, UB 105711); Oliveira, F.C.A., 2311 (HUTO 3953, UFRN 13628)"
Erythroxylaceae,Erythroxylum oxypetalum O.E.Schulz,shrub,probable occurrence in the AF,12,"Costa-Lima, J.L., 1981 (HUEFS 224028); Costa-Lima, J.L., 1984 (HUEFS 224031); Costa-Lima, J.L., 2569 (HUEFS 242742); Costa-Lima, J.L., 2572 (HUEFS 242745); Glaziou A., 12473 (BR 6998042); Glaziou, A.F.M., 12473 (B 12634, F 55719F, R 854); Glaziou, A.F.M., 12473 (G 352307); Glaziou, A.F.M., s.n. (G 241563/1); Harley, R.M., 55305 (EAC 50446, HUEFS 92384); Hatschbach, G., 50269 (F 271075F, MA 1-00514985, MBM 104943, MO 2804502, US 3493646); Neves, S.P.S., 364 (HUEFS 180843); Anonymous, 12473 (K 426841)"
Erythroxylaceae,Erythroxylum pruinosum O.E.Schulz,shrub,probable occurrence in the AF,47,"Amaral Junior, A., 2 (BOTU 22262, CGMS 7171); Amaral Junior, A., 40 (BOTU 22261); Burchell, W.J., 7931 (K 407417); Burchell, W.J., 8195 (K 407414); Dias, B.J., 23 (UB 149979); Fonseca, S.G., 1373 (MG 046650, UB 24503); Foster, R.B., 13808 (MO 1719747); Gardner, 2790 (K 407415); Gardner, 2790 (K 407416); Gardner, G., 2790 (BM 603780, IPA 40444); Jangoux, I.J., 1812 (MG 116050); Jangoux, J., 1754 (F 271234F, MG 115992, NY 997260); Killeen, T.J., 6120 (MO 936399); Pereira-Silva, G., 3136 (BOTU 31400, CEN 46810, HEPH 14114); Plowman, T., 8405 (F 271238F, INPA 119897, K 1201130, MO 2802084, NY 997258, US 2963170); Ratter, J.A., 7378 (UB 24464); Ribeiro, E., 20 (EAC 46576); Vieira, M.G., 658 (F 271235F, INPA 88983, MO 2804531, NY 2448408, RB 253635, US 2939187); Weddell, H.A., 2694 (F 55738)"
Erythroxylaceae,Erythroxylum strobilaceum Peyr.,shrub,probable occurrence in the AF,1,"Melo, P.H.A., 232 (CEPEC 136747)"
Erythroxylaceae,Erythroxylum substriatum O.E.Schulz,tree,probable occurrence in the AF,4,"Jarenkow, J.A., 2473 (ICN 184134); Rambo, B., s.n. (PACA 49180); Tweedie, 51 (ICN 085143); Tweedie, 51 (K 407421)"
Euphorbiaceae,Algernonia gibbosa (Pax & K.Hoffm.) Emmerich,tree,no records found but cited in BF.2020,1,"Sellow, F., 1188 (B 5529)"
Euphorbiaceae,Cnidoscolus adenoblepharus Fern.Casas & J.M.Pizarro,tree,probable occurrence in the AF,1,"Roque, N., 698 (ALCB 62308)"
Euphorbiaceae,Cnidoscolus froesii (Croizat) Fern.Casas,tree,probable occurrence in the AF,4,"G. Hatschbach, M. Hatschbach, 78486 (MA 1-00773396); Glaziou, A.F.M., 14245 (F 56812); Ratter, J.A., s.n. (NY 1027285); Ratter, J.A., s.n. (NY 1065175)"
Euphorbiaceae,Croton agoensis Baill.,tree,probable occurrence in the AF,68,"Amorim, A.M., 9233 (CEPEC 141838, RB 986889); Anderson, W.R., 9039 (INPA 84688, MO 2934252, NY 870176); Arbo, M.M., 5621 (SP 258812, SPF 85154); Carneiro-Torres, D.S., 699 (ESA 98748); Eiten, G., 3666 (SP 139387, UB 189375); Pereira, B.A.S., 2002 (IBGE 28837); Pereira, B.A.S., 2976 (IBGE 37760, SP 319493); Saint-Hilaire, A., s.n. (P 222699); Saint-Hilaire, A., s.n. (P 623664); Saint-Hilaire, A., s.n. (P 623665)"
Euphorbiaceae,Jatropha catingae Ule,tree,probable occurrence in the AF,9,"Allem, A.C., 2936 (CEN 8654); Duarte, A.P., 10515 (RB 86031); Ginzbarg, S., 819 (ALCB 55981); Guedes, M.L., 5416 (ALCB 31676); Loureiro, D.M., 336 (CEPEC 77256); Melo, E., 12751 (HUEFS 207079); Melo, E., 3638 (CEPEC 98754); Santana, D.L., 498 (ALCB 56017); Ule, E., 7069 (HBG 516070)"
Euphorbiaceae,Jatropha palmatipartita Dehgan,shrub,probable occurrence in the AF,3,"Carvalho, A.M., 1600 (CEPEC 31173, F 360198F, MO 100542566); Costa, G., 2893 (HURB 21173); Mori, S.A., 11244 (CEPEC 15326, MO 100941527)"
Euphorbiaceae,Joannesia heveoides Ducke,tree,probable occurrence in the AF,24,"Barbosa, E.M., 300 (HSTM 898, INPA 198349); Brasil, F.C.Z., 8 (CEN 51806); Brasil, L.P.A., 164 (CEN 52100); Coelho, L.F., INPA39600 (INPA 39600); Coelho, L.F., s.n. (HFSL 5687); Ducke, A., 16462 (G 441710, S 10661, US 1040906); Ducke, A., 16896 (US 1040981); Ducke, A., 600 (MO 2953375, NY 1418255, US 1834248, US 1834249); Ducke, A., s.n. (B 5245); Ducke, A., s.n. (G 306455/1); Ducke, A., s.n. (MG 016896); Ducke, A., s.n. (MG 16896); Ducke, A., s.n. (P 712255); Ferreira, C.A.C., 1564 (INPA 95157, MG 077211, MO 2957121, NY 1418251, NY 1478572, RB 113705, US 2985743); Ferreira, C.A.C., 6006 (INPA 127472, K 1205881, MO 100224414, NY 1418250, NY 1478564, NY 1478566); Ferreira, C.A.C., 9524 (INPA 155581, NY 1418252); Ferreira, M.J., 1222 (INPA 280605); G., J., A.S.L., C.D.A., 137 (RB 112869); Krukoff, B.A., 1202 (NY 1478563); Oliveira, J.E., 1106 (NY 1281182, UB 150865); Pires, J.M., 1183 (IAC 11376); Schultes, R.E., 8666 (COL 294662, COL 294663, COL 34319, US 1996587, US 1996588); Soares, E., 68 (INPA 141925); Vieira, G., 137 (INPA 88461, MG 074269, MO 2957399, NY 1418249, NY 1478567)"
Euphorbiaceae,Micrandra elata (Didr.) Mull.Arg.,tree,no records found but cited in BF.2020,43,"Araujo, G.M., 349 (HUFU 1655, SP 276207); Austin, D.F., 7365 (INPA 97359, MG 069634, MO 2960800, NY 1451696, US 2984868); Boom, B.M., 9028 (COL 337428); Clarke, H.D., 381 (US 3393120); Ducke, A., 23519 (K 1205296, S 10696, US 1516538, US 1517678, US 2270461); Glaziou, A.F.M., 18470a (B 5410); Gudino, E., 403 (MO 783773); Haught, O.L., 2189 (F 213769F, NY 272963, US 1742419); Lanjouw, J., 6687 (RB 538492); Liesner, R.L., 13192 (F 213764F, MBM 89595, MG 093887, MO 1310704); Loefgren, A., CGG920 (SP 13771); Lorenzi, H., 1497 (SP 362880); Martius, C.F.P., s.n. (MSB 174054/ 708784 / 357733); Martius, C.F.P., s.n. (MSB 174055/ 708785 / 357734); Mori, S.A., 8396 (US 2832774); Mori, S.A., 8439 (MO 2958790, US 2832773); Mori, S.A., 8456 (US 2832775); Rangel, O., 13416 (COL 571113); Anonymous, 4267 (K 572993); Anonymous, 6687 (K 572992); Zartman, C.E., 9596 (INPA 271484)"
Euphorbiaceae,Sapium pallidum (Mull.Arg.) Huber,tree,probable occurrence in the AF,48,"(moricand), B., 2689 (K 600918); Berg, C.C., P18414 (UFMT 3523); Berg, C.C., s.n. (NY 1065560); Blanchet, 2689 (K 600917); Blanchet, J.S., 2689 (BM 630475); Blanchet, J.S., 2689 (G 414473, G 414474); Blanchet, J.S., s.n. (G 310189/1); Blanchet, J.S., s.n. (G 310189/2); Blanchet, J.S., s.n. (P 716415); Blanchet, J.S., s.n. (W 0051426); Blanchet, J.S., s.n. (W 1889-0121473); Capucho, P., 328 (R 28375); Casas, J.F., 8390 (MA 1-00530219); Casas, J.F., 8390 (MA 2-00530219); Ducke, A., 10223 (F 57097); Ducke, A., 12473 (F 57098); Ducke, A., s.n. (MG 010223); Ducke, A., s.n. (MG 012473); Ducke, A., s.n. (MG 015297); Ducke, A., s.n. (MG 10223); Ducke, A., s.n. (MG 12473); Ducke, A., s.n. (MG 15297); Froes, R.L., 20281 (RB 76715); Goulding, M., 1367 (MG 086867); Goulding, M., s.n. (MG 86867); Saddi, N., 7135 (CNMT 4217); Saddi, N., 7356 (CNMT 4236); Saddi, N., 7734 (CNMT 4218); Saddi, N., 8109 (CNMT 4215); Zarucchi, J.L., s.n. (MG 70702)"
Euphorbiaceae,Stillingia loranthacea (Mull.Arg.) Pax,tree,probable occurrence in the AF,4,"Blanchet, J.S., 271 (G 364525, G 364533); Mori, S.A., 12595 (CEPEC 17795, NY 542057, US 2854230); Mori, S.A., s.n. (RB 236368); Roque, N., 1766 (NY 1801479)"
Fabaceae,Aeschynomene monteiroi Afr.Fern. & P.Bezerra,shrub,probable occurrence in the AF,59,"Bezerra, P., s.n. (EAC 5118); Costa, R.M.T., 178 (HUEFS 205739, JPB 44261); Fernandes, A., s.n. (EAC 2663); Fernandes, A., s.n. (EAC 2773); Fernandes, A., s.n. (EAC 3216); Fernandes, A., s.n. (EAC 3772); Fernandes, A., s.n. (EAC 5063); Fernandes, A., s.n. (EAC 5114); Fonseca, M.R., 1318 (CEN 45837); Lewis, G.P., 1083 (CEPEC 29523, K 92360, RB 168047); Lewis, G.P., 1135 (CEPEC 29563, HUEFS 99843, K 92359, RB 540117); Oliveira, A.C.P., 2710 (HUEFS 201330, HVASF 20925); Queiroz, L.P., 7352 (HST 11295, HUEFS 63839, HUNEB 8299, SPF 157952); Roque, A.A., 349 (HST 17627, HUEFS 111670, HUEFS 137429, HUEFS 164595, UEC 64876, UFRN 6391)"
Fabaceae,Andira cujabensis Benth.,tree,probable occurrence in the AF,177,"Adriana, s.n. (CGMS 29227); Burchell, 7549 (K 908006); Castro, R., s.n. (NY 981226); Gardner, 3654 (K 118485); Gardner, G., 3654 (B 2330); Gardner, G., 3654 (BM 901305); Gardner, G., 3654 (E 296843, E 296844); Gardner, G., 3654 (F 58845); Gardner, G., 3654 (F 58846F, F 58847F, SP 31872); Gardner, G., 3654 (G 364505); Gardner, G., 3654 (MO 1837345); Gardner, G., 3654 (NY 981130); Gardner, G., s.n. (G 265927/1); Irwin, H.S., 17126 (MBM 81560); Lane, F., s.n. (HAS 87501); Lane, F., s.n. (HB 56860); Lane, F., s.n. (K 264050); Lane, F., s.n. (K 264051); Lane, F., s.n. (NY 5103); Lane, F., s.n. (SPF 64982); Lane, F., s.n. (US 2636669); Pohl J.B.E., s.n. (BR 8435729); Ramos, J.F., s.n. (NY 981201); Ratter, J.A., s.n. (NY 981227); Riedel, 469 (K 908009); Anonymous, 11 (K 908012); Santos, R.R., s.n. (NY 981178); Anonymous, 827 (NY 5097); Smith, L.B., s.n. (R 65869); Tamberlik, s.n. (W 0027301)"
Fabaceae,Bauhinia platypetala Burch. ex Benth.,tree,probable occurrence in the AF,99,"Arbocz, G.F., 6530 (IBGE 52234, RB 138091); Burchell, W.J., s.n. (P 798596); Burchell, W.J., s.n. (P 798597); Eiten, G., 10420 (UB 190650, US 2700194); Froes, R.L., 26979 (RB 137899, US 2268509); Gardner, G., 3700 (G 388856, G 388857); Gardner, G., s.n. (G 278436/1); Gardner, G., s.n. (G 278436/2); Grogan, J., 185 (INPA 208889); Hatschbach, G., 34086 (MBM 292247, USF 114910); Irwin, H.S., 21214 (NY 958034, UB 30925, US 2752526); Maxwell, H., 21214 (K 807265); Melo, F.F., 403 (INPA 217355); Monteiro, J.R.B., 28 (UEC 34078, UEC 36024); Nascimento, M.S.B., 1025 (IPA 57486, K 56903, K 56904, K 56905, RB 137927, TEPB 9418); Pereira, B.A.S., 2045 (RB 138082, USF 209039); Philcox, D., 4071 (K 807263, RB 138006); Rene Guillen V., 1518 (MO 938332); Silva, N.T., 1765 (K 807257, USF 171855)"
Fabaceae,Calliandra aeschynomenoides Benth.,shrub,probable occurrence in the AF,51,"Andrade-Lima, 7191 (IPA 29396); Blanchet J.S., 3896 (BR 5116911); Blanchet, J.S., 3896 (BM 20459); Blanchet, J.S., 3896 (F 361389); Blanchet, J.S., 3896 (G 191215); Blanchet, J.S., 3896 (G 20159); Blanchet, J.S., 3896 (G 20160); Blanchet, J.S., 3896 (NY 1491809); Blanchet, J.S., s.n. (G 82881/1); Blanchet, J.S., s.n. (G 82881/2); Blanchet, J.S., s.n. (G 82881/3); Blanchet, J.S., s.n. (P 2142761); Queiroz, L.P., 348 (K 205616); Rodal, M.J.N., 436 (K 205614, NY 408625, PEUFR 17356); Siqueira Filho, J.A., 3638 (HVASF 22965, SPF 229854)"
Fabaceae,Calliandra carrascana Barneby,shrub,probable occurrence in the AF,4,"Hatschbach, G., 48350 (ASU 17804); Lombardi, J.A., 1656 (NY 408598); Lombardi, J.A., 1707 (BHCB 37071); Salino, A., 3068 (CEPEC 105528)"
Fabaceae,Calliandra elegans Renvoize,shrub,probable occurrence in the AF,22,"Franca, F., 1301 (HUEFS 20261); Ganev, W., 1076 (CEPEC 94122, HUEFS 12140, K 868324, NY 632375, SPF 88018); Ganev, W., 1114 (HUEFS 12178, K 868319, NY 632355, SPF 88034); Ganev, W., 2118 (HUEFS 14705, K 868326, NY 632372, SPF 82768); Ganev, W., 2149 (HUEFS 14736, JPB 55103, K 868322, NY 632376, SPF 82800); Ganev, W., 2500 (HUEFS 16039, K 868327, SPF 113770); Ganev, W., 3374 (HUEFS 18119, K 868320, NY 632374, SPF 119903); Ganev, W., 3403 (HUEFS 18148, K 868325, NY 632373, SPF 119904); Harley, R.M., 19928 (CEPEC 21813, CEPEC 37118, HUEFS 75908, HUEFS 89655, K 205728, NY 1933, SPF 34805, US 3025800); Harley, R.M., 25349 (CEPEC 46734, HUEFS 49376, K 205729, SPF 204469); Harley, R.M., 28343 (ESA 81269, HUEFS 25035, HUNEB 7539, K 868323, R 201142, UB 128756, VIES 13136); Harley, R.M., 35789 (MBM 121276); Harley, R.M., s.n. (MO 2888417); Hatschbach, G., 67813 (ASU 17807, INPA 203658, MBM 222463, NY 390161); Miranda, E.B., 301 (HUEFS 40882); Pirani, J.R., 1985 (K 205692, MO 2888200, MO 2888525, SPF 49645); Rapini, A., 1486 (HUEFS 139715); Sano, P.T., 52344 (NY 390162); Sano, P.T., H52344 (HUEFS 27098, SP 313985, SPF 92156); Souza, V.C., 22752 (HUEFS 41676, HUEM 5202, SPF 140461); Souza, V.C., 22752 (MBM 240069); Souza, V.C., 22760 (ESA 61265, HUEFS 41659, SPF 140462, UPCB 42925)"
Fabaceae,Calliandra umbellifera Benth.,shrub,probable occurrence in the AF,51,"Andrade-Lima, 8158 (IPA 32437); Duarte, A.P., 1405 (NY 924233, RB 64355); Felix, L.P., 7825 (HST 6405, HUEFS 38021, INPA 199933, JPB 53757); Gardner, G., 1581 (BM 885819); Gardner, G., 1581 (BM 885820); Gardner, G., 1581 (F 361366); Gardner, G., 1581 (HUEFS 76070, HUEFS 76078, K 205551, K 205552, MO 2893533); Gardner, G., 1581 (NY 1978); Gardner, G., 1581 (NY 1979); Gardner, s.n. (P 2142842); Gardner, s.n. (P 2741431)"
Fabaceae,Cassia leiandra Benth.,tree,no records found but cited in BF.2020,197,"Martius, C.F.P(no. Obs. ), s.n. (MSB 217112/ 638059 / 294648); Schomburgk, 894 (F 57591); Schomburgk, 894 (F 57592); Schomburgk, R.H., 894 (E 296833); Schomburgk, R.H., s.n. (G 270648/1); Schomburgk, R.H., s.n. (G 270648/2); Schomburgk, R.H., s.n. (P 2436102); Schomburgk, R.H., s.n. (P 2436103); Schomburgk, R.M., 894 (BM 952096)"
Fabaceae,Cassia moschata Kunth,tree,probable occurrence in the AF,88,"Bonpland, A.J.A., 1479 (F 57611); Bonpland, A.J.A., s.n. (P 2436093); Bonpland, A.J.A., s.n. (P 2436094); Bonpland, A.J.A., s.n. (P 679216)"
Fabaceae,Chamaecrista adenophylla (Taub.) H.S.Irwin & Barneby,shrub,probable occurrence in the AF,36,"Glaziou, A., s.n. (P 2436021); Glaziou, A., s.n. (P 2436022); Glaziou, A., s.n. (P 2436023); Glaziou, A.F.M., 19066 (B 1645); Glaziou, A.F.M., 19066 (F 57478F, US 1751227); Glaziou, A.F.M., 19066 (R 8585); Pirani, J.R., 7913 (K 835824); Zappi, D.C., 10592 (K 835827); Zappi, D.C., 9441 (K 835828); Zappi, D.C., 9965 (K 835825)"
Fabaceae,Chamaecrista bracteolata (Vogel) H.S.Irwin & Barneby,tree,probable occurrence in the AF,21,"Anderson, W.R., 36229 (K 835520, MO 3239654, NY 959445, RB 265156, UB 127057, US 2839031); Duarte, A.P., 2622 (IPA 11811, MO 3233401, RB 70691, VIC 45611); Gibbs, P.E., 2371 (UEC 6436); Giulietti, A.M., 5020 (K 555495); Glaziou, A., s.n. (P 2946022); Irwin, H.S., 2449 (NY 959443, US 2338296, VIC 4158); Irwin, H.S., 2461 (K 835518, NY 959442, R 116438, US 2281548, VIC 4673); Irwin, H.S., 2461 (US 15264); Joly, A.B., 2547 (E 296866, UEC 31540); Sellow, F., 257 (G 370928); Sellow, F., s.n. (B 1661); Sellow, F., s.n. (F 57500); Sellow, F., s.n. (G 274246/1); Sellow, F., s.n. (P 835961); Sellow, F., s.n. (P 835962); Sellow, s.n. (K 555493); Semir, J., 2547 (K 651078); Semir, J., 5020 (E 296867, RB 458743, UEC 31541); Smith, L.B., 7080 (NY 959444, R 103215, US 2124569); Wagner, H., s.n. (NY 960296)"
Fabaceae,Chamaecrista chaetostegia (H.S.Irwin & Barneby) H.S.Irwin & Barneby,shrub,probable occurrence in the AF,6,"Harley, R.M., 22517 (RB 389848); Irwin, H.S., 11541 (F 57552F, K 555531, MO 2720309, NY 19445, NY 19446, NY 3750, NY 3751, RB 185826, S 8792, UB 1724, US 2838946); Irwin, H.S., 24275 (S 8793, UB 31159); Irwin, H.S., 29729 (NY 960469, NY 960543); Irwin, H.S., 9554 (MO 3234543, NY 960518, UB 32195); Irwin, H.S., s.n. (P 835981)"
Fabaceae,Chamaecrista orbiculata (Benth.) H.S.Irwin & Barneby,shrub,probable occurrence in the AF,216,"Baker, R., 7418 (K 56338); Belem, B.P., 359 (MBM 58954); Clausen, P., 849 (NY 960261); Clausen, P.C.D., 167 (G 371000); Clausen, P.C.D., s.n. (G 274412/1); Claussen, P., s.n. (P 2935166); Claussen, P.H., 167 (F 57626); Forzza, R.C., 4664 (HUEFS 137080, RB 452583); Gardner, G., 2829 (B 1719); Glaziou, A., 20975 (K 835797); Glaziou, A., s.n. (P 2436062); Glaziou, A., s.n. (P 2436063); Glaziou, A.F.M., 20971 (B 1759, F 57706F, F 57707F, MO 3233833); Harley, R., 5551 (K 835804); Hatschbach, G., 31942 (MBM 25588, NY 471520); Hatschbach, G., 62172 (CEPEC 70350, CPAP 16103, MBM 174838, MO 3239130, NY 471519, UB 31488); Heringer, E.P., 7606 (NY 960258, UB 31502); Kirkibride Junior, 3982 (MBM 86179); Leme, R.O., 15 (K 835814, K 835815, NY 980115, NY 980815, UB 32136, VIES 1287); Martins, T., 22 (RB 199404); Mattos Filho A., 311 (RB 120028, RB 143080, RFA 7762); Neto, M.P., 2768 (K 835803); Pereira, B.A.S., 2861 (EAC 24437); Proenca, C.E.B., 2320 (CEN 62261, FUEL 39207, MBM 309888, UB 9344); Ribeiro, M.M.V., 1 (UB 32433, UB 32434); Silva, M.A., 1301 (RB 312398, UB 127448); Simon, M.F., 3332 (CEN 108752, HUEFS 251765, HUTO 7587, RB 1420364)"
Fabaceae,Chamaecrista tenuisepala (Benth.) H.S.Irwin & Barneby,shrub,probable occurrence in the AF,97,"Araujo, F.S., 1390 (EAC 33941, HUEFS 67375); Costa-Lima, J.L., 51 (UFRN 8111); Ducke, A., 16214 (RB 11340); Eiten, G., 4348 (K 839276, NY 978853, UB 127722, US 2570808); Gardner, G., 2125 (B 1756, G 370969); Gardner, G., 2125 (F 57701); Gardner, G., 2125 (F 57702); Gardner, G., 2125 (HUEFS 75916, HUEFS 75928, K 56497, K 56498); Gardner, G., 2125 (NY 3957); Gardner, G., 2135 (F 57700); Gardner, G., s.n. (G 274702/1); Gardner, G., s.n. (P 836119); Gardner, G., s.n. (P 836120); Hatschbach, G., 68136 (MBM 228211, NY 471025); Lima, A., 582909 (K 56500); Monteiro Neto, H., 169 (RB 143241); Monteiro Neto, H.SC., 169 (RB 128500); Queiroz, R.T., 479 (MAC 29465, UFRN 4016); Quirino, Z.G., 28 (JPB 31333); Quirino, Z.G., 33 (HUEFS 76301, JPB 31338); Silva, R.A., 1187 (UFP 28460); Ule, E., 7435 (K 56499)"
Fabaceae,Chamaecrista ulmea H.S.Irwin & Barneby,shrub,probable occurrence in the AF,9,"Hatschbach, G., 41627 (MBM 60534, MO 3247672, NY 978864, RB 248738); Hatschbach, G., 54297 (ASU 19810, CEPEC 48643, HRB 29164, HUCS 7483, MBM 136002, SPF 70754, UPCB 18144); Irwin, H.S., 23535 (F 57739F, K 555597, NY 4194, NY 4195, R 129606, S 8874, US 2801748); Irwin, H.S., s.n. (P 836125); Pirani, J.R., CFCR13034 (SPF 204445); Santos, M.F., 650 (ESA 126364, HUEFS 203804, NY 2704003, SPF 201413); Zappi, D.C., 12000 (HUEFS 31066, K 839179); Zappi, D.C., 13034 (HUEFS 31067, K 839180, K 839181); Zappi, D.C., CFCR12000 (SPF 66031)"
