"Research.ResearchSubfield.ResearchLookup","Research.ResearchSubfield.ResearchName","Research.ResearchSubfield.note","internal_taxon_id","Research.ResearchSubfield.note.iucn_rl"
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp80",""
"1.5","Threats","","sp85",""
"1.2","Population size, distribution & trends","","sp85",""
"3.4","Habitat trends","Pesquisa é necessária para detectar os habitats preferenciais da espécie e para avaliar a evolução da quantidade e qualidade desses habitats ao longo do tempo","sp85",""
"1.5","Threats","","sp86",""
"1.3","Life history & ecology","","sp86",""
"1.2","Population size, distribution & trends","","sp86",""
"3.4","Habitat trends","Pesquisa é necessária para detectar os habitats preferenciais da espécie e para avaliar a evolução da quantidade e qualidade desses habitats ao longo do tempo","sp89",""
"1.2","Population size, distribution & trends","","sp89",""
"1.5","Threats","","sp89",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp91",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp91",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp91",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp91",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp91",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp92",""
"1.1","Taxonomy","Espécie conhecida apenas para a localidade onde o espécimen tipo foi coletado e/ou que não tenha sido re-coletado nos últimos 50 anos. Pode se tratar de uma sinônimo de outra espécie que não tenha recebido o tratamento taxonômico necessário. Caso contrário, pode se tratar de uma espécie possivelmente extinta na natureza","sp94",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp94",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp94",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp94",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp94",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp94",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp99",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp105",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp106",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp109",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp109",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp109",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp109",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp109",""
"1.1","Taxonomy","Espécie conhecida apenas para a localidade onde o espécimen tipo foi coletado e/ou que não tenha sido re-coletado nos últimos 50 anos. Pode se tratar de uma sinônimo de outra espécie que não tenha recebido o tratamento taxonômico necessário. Caso contrário, pode se tratar de uma espécie possivelmente extinta na natureza","sp110",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp110",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp111",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp111",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp111",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp111",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp111",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp114",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp115",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp115",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp115",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp115",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp115",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp125",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp125",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp125",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp125",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp125",""
"1.4","Harvest, use & livelihoods","","sp159",""
"1.2","Population size, distribution & trends","","sp159",""
"1.1","Taxonomy","","sp159",""
"2.3","Harvest & Trade Management Plan","Espécie com algum tipo de uso conhecido, real ou potencial, para a obtenção de produtos madereiros ou não-madereiros. Pesquisa necessária para determinar a intensidade e extensão do uso da espécie","sp159",""
"1.5","Threats","","sp163",""
"1.2","Population size, distribution & trends","","sp163",""
"3.1","Population trends","","sp167",""
"1.5","Threats","","sp167",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp177",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp180",""
"1.5","Threats","","sp181",""
"1.2","Population size, distribution & trends","","sp181",""
"3.4","Habitat trends","Pesquisa é necessária para detectar os habitats preferenciais da espécie e para avaliar a evolução da quantidade e qualidade desses habitats ao longo do tempo","sp181",""
"1.1","Taxonomy","Espécie conhecida apenas para a localidade onde o espécimen tipo foi coletado e/ou que não tenha sido re-coletado nos últimos 50 anos. Pode se tratar de uma sinônimo de outra espécie que não tenha recebido o tratamento taxonômico necessário. Caso contrário, pode se tratar de uma espécie possivelmente extinta na natureza","sp186",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp186",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp186",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp186",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp186",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp186",""
"1.2","Population size, distribution & trends","","sp189",""
"1.2","Population size, distribution & trends","","sp191",""
"1.5","Threats","","sp191",""
"1.5","Threats","","sp200",""
"1.2","Population size, distribution & trends","","sp200",""
"1.2","Population size, distribution & trends","","sp203",""
"1.5","Threats","","sp203",""
"1.2","Population size, distribution & trends","","sp204",""
"1.5","Threats","","sp204",""
"1.5","Threats","","sp206",""
"1.2","Population size, distribution & trends","","sp206",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp208",""
"3.1","Population Trends","Espécie com estimativas ou indícios de tamanho populacional pequeno e em declínio ou com tamanho populacionais muito pequenos. Estudos populacionais mais refinados são necessários para melhor estimar qual é o real tamanho populacional da espécie ao longo da sua área de distribuição","sp208",""
"1.2","Population size, distribution & trends","","sp211",""
"1.5","Threats","","sp211",""
"1.2","Population size, distribution & trends","","sp214",""
"1.5","Threats","","sp214",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp216",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp224",""
"1.5","Threats","","sp226",""
"1.2","Population size, distribution & trends","","sp226",""
"3.4","Habitat trends","Pesquisa é necessária para detectar os habitats preferenciais da espécie e para avaliar a evolução da quantidade e qualidade desses habitats ao longo do tempo","sp226",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp227",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp228",""
"3.1","Population trends","","sp234","None"
"1.5","Threats","","sp239",""
"1.3","Life history & ecology","","sp239",""
"1.2","Population size, distribution & trends","","sp239",""
"1.1","Taxonomy","","sp239",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp252",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp271",""
"3.1","Population trends","","sp272",""
"3.4","Habitat trends","Pesquisa é necessária para detectar os habitats preferenciais da espécie e para avaliar a evolução da quantidade e qualidade desses habitats ao longo do tempo","sp272",""
"1.2","Population size, distribution & trends","","sp272",""
"1.3","Life history & ecology","","sp272",""
"1.5","Threats","","sp272",""
"1.1","Taxonomy","Espécie conhecida apenas para a localidade onde o espécimen tipo foi coletado e/ou que não tenha sido re-coletado nos últimos 50 anos. Pode se tratar de uma sinônimo de outra espécie que não tenha recebido o tratamento taxonômico necessário. Caso contrário, pode se tratar de uma espécie possivelmente extinta na natureza","sp273",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp273",""
"1.2","Population size, distribution & trends","","sp280",""
"3.1","Population trends","","sp289",""
"1.4","Harvest, use & livelihoods","","sp289",""
"1.2","Population size, distribution & trends","","sp289",""
"1.2","Population size, distribution & trends","","sp294",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp295",""
"3.1","Population trends","","sp299",""
"1.6","Actions","Pesquisa é necessária para determinar como mitigar ameaças específicas (e.g. extração ilegal, fogo, espécies invasoras), ou se a reprodução em cativeiro/viveiro é viável","sp299",""
"3.1","Population trends","","sp300",""
"1.5","Threats","","sp300",""
"1.2","Population size, distribution & trends","","sp300",""
"3.1","Population Trends","Espécie com estimativas ou indícios de tamanho populacional pequeno e em declínio ou com tamanho populacionais muito pequenos. Estudos populacionais mais refinados são necessários para melhor estimar qual é o real tamanho populacional da espécie ao longo da sua área de distribuição","sp304",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp341",""
"3.1","Population trends","","sp343",""
"1.5","Threats","","sp343",""
"1.2","Population size, distribution & trends","","sp343",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp346",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp349",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp355",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp355",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp355",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp355",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp355",""
"3.2","Harvest level Trends","Espécie com histórico de exploração na Mata Atlântica. Apesar das estimativas do tamanho populacional da espécie estarem disponíveis (baseadas em perda de área florestal), pouco se conhece sobre a intensidade da exploração histórica e de seu impacto no tamanho populacional efetivo da espécie ao longo do tempo. Estudos populacionais mais refinados são necessários para melhor estimar qual a real situação das populacões ao longo da área de distribuição da espécie","sp361",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp367",""
"3.1","Population trends","","sp378",""
"1.5","Threats","","sp378",""
"1.2","Population size, distribution & trends","","sp378",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp380",""
"1.2","Population size, distribution & trends","","sp382",""
"1.2","Population size, distribution & trends","","sp383",""
"3.1","Population trends","","sp391",""
"1.5","Threats","","sp391",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp400",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp402",""
"1.3","Life History and Ecology","Espécie classificada como criticamente ameaçada, porém com pouca ou nenhuma informação sobre sua distribuição, ecologia e história de vida","sp402",""
"1.4","Harvest, Use and Livelihoods","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação sobre usos, colheita e seu papel para a subsistência de populações locais","sp402",""
"1.5","Threats","Espécie classificada como criticamente ameaçada, porém sem nenhuma informação específica sobre as ameaças à manutenção a longo prazo de suas populações na natureza","sp402",""
"2.1","Species Action/Recovery Plan","Estabelecer um Plano de Ação em escala nacional para recuperar as populações da espécie","sp402",""
"1.2","Population size, distribution & trends","","sp408",""
"1.2","Population size, Distribution and Past Trends","Espécie não registrada em nenhum dos mais de 1100 inventários florestais compilados para a Mata Atlântica, portanto sem estimativas de seu tamanho populacional e tendências de declínio. Adicionalmente, a espécie foi registrada em poucas localidades (menos que 10). Provavelmente trata-se de uma espécie que ocorre em baixas densidades na floresta (i.e. espécie rara) ou uma espécie de ocrrência restrita à um tipo de habitat específico e sub-representado nos registros de herbário e inventários florestais compilados","sp416",""
"1.5","Threats","","sp416",""
