"Threats.ThreatsSubfield.StressesSubfield.stress","Threats.ThreatsSubfield.StressesSubfield.stressdesc","Threats.ThreatsSubfield.ThreatsLookup","Threats.ThreatsSubfield.ThreatsName","Threats.ThreatsSubfield.ancestry","Threats.ThreatsSubfield.ias","Threats.ThreatsSubfield.internationalTrade","Threats.ThreatsSubfield.scope","Threats.ThreatsSubfield.severity","Threats.ThreatsSubfield.text","Threats.ThreatsSubfield.timing","Threats.ThreatsSubfield.virus","internal_taxon_id"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp4"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp4"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp5"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp5"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp5"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp5"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp5"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp6"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp6"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp6"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp6"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp6"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp7"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp7"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp7"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp7"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp7"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp8"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp8"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp8"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp8"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp8"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp9"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp9"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp9"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp9"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp9"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp10"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp10"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp10"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp10"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp10"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp11"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp11"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp11"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp11"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp11"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp12"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp12"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp12"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp12"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp12"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp13"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp13"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp13"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp13"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp13"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp14"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp14"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp14"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp14"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp14"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp15"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp15"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp15"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp15"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp15"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp16"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp16"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp16"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp16"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp16"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp17"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp17"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp17"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp17"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp17"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp18"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp18"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp18"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp18"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp18"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp19"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp19"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp19"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp19"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp19"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp20"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp20"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp20"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp20"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp20"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp21"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp21"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp21"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp21"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp21"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp22"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp22"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp22"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp22"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp22"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp23"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp23"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp23"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp23"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp23"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp24"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp24"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp24"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp24"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp24"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp25"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp25"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp25"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp25"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp25"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp26"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp26"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp26"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp26"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp26"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp27"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp27"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp27"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp27"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp27"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp28"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp28"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp28"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp28"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp28"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp29"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp29"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp29"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp29"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp29"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp30"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp30"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp30"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp30"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp30"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp31"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp31"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp31"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp31"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp31"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp32"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp32"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp32"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp32"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp32"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp33"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp33"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp33"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp33"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp33"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp34"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp34"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp34"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp34"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp34"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp35"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp35"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp35"
