familia,nome cient­fico,autor,categoria,crit?rio,avaliador,revisor,justificativa,data da avaliacao,link,bioma
ACANTHACEAE,Chamaeranthemum beyrichii,Nees,LC,,Julia Caram Sfair,Tainan Messina,"C. beyrichii ? uma esp‚cie amplamente distribu¡da (EOO=130.381,660 kmì) na Mata AtlŸntica, ocupando principalmente ÿreas de Floresta Ombr½fila Densa. Apesar do intenso desmatamento ocorrido nessa forma‡Æo florestal, a esp‚cie ocorre em pelo menos cinco unidades de conserva‡Æo (SNUC) e possui baixo risco de extin‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Chamaeranthemum%20beyrichii,AtlanticForest
ACANTHACEAE,Dicliptera squarrosa,Nees,LC,,Julia Caram Sfair,Tainan Messina," uma esp‚cie de ampla distribui‡Æo (EOO =  1.405.493,24km2), encontrada em  Florestas Estacionais Semidec¡duas e em ÿreas de Cerrado. N’o hÿ amea?as registradas para a esp‚cie, que ? encontrada em pelo menos cinco unidades de conserva‡Æo. Dessa maneira, ? esp‚cie ? considerada com baixo risco de extin‡Æo (LC). Entretanto, em pelo menos em uma das localidades hÿ registro de que a esp‚cie ? rara (Babitonga, SC), indicando que novos estudos devem ser feitos em outros locais para se registrar o estado de conserva‡Æo da esp‚cie.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Dicliptera%20squarrosa,AtlanticForest|Cerrado
ACANTHACEAE,Dyschoriste lavandulaceae,(Nees) Kuntze,EN,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Dyschoriste lavandulaceae tem distribui‡Æo restrita (EOO=544,71 kmì) e estÿ sujeita a tr?s situa?„es de amea?a. A esp‚cie ocorre em forma?„es campestres, sem registro em unidades de conserva‡Æo (SNUC). Al?m disso, em pelo menos uma das localidades (munic¡pio de Rio Verde, Estado do Mato Grosso do Sul), cerca de 8 kmì de vegeta‡Æo nativa foram suprimidos entre 2008 e 2010, o que configura decl¡nio cont¡nuo de EOO, AOO e de qualidade do hÿbitat. Portanto, a esp‚cie encontra-se ""Em perigo"" (EN).  importante ressaltar que as coletas de D. lavandulaceae ocorreram hÿ mais de 30 anos, e que novos estudos devem ser feitos para que a distribui‡Æo atual da esp‚cie possa ser confirmada.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Dyschoriste%20lavandulaceae,AtlanticForest|Cerrado
ACANTHACEAE,Dyschoriste smithii,Leonard,CR,"B1ab(iii,v)",Julia Caram Sfair,Tainan Messina,"esp‚cie encontrada apenas em ilhas rochosas do Rio Uruguai, no trecho pr½ximo ao munic¡pio de Barra do Arroio do Veado, na divisa entre os Estados de Santa Catarina e Rio Grande do Sul, onde forma densas aglomera?„es. Devido a sua distribui‡Æo restrita (EOO=65,3 kmì) e proximidade das localidades no leito do rio, estÿ sujeita a uma situa‡Æo de amea?a. Imagens de sat?lite mostram supress’o da mata ciliar nessa regi’o. Al?m disso, a aus?ncia de unidades de conserva‡Æo (SNUC) ou a?„es espec¡ficas na ÿrea, sugere que a esp‚cie esteja sujeita a decl¡nio cont¡nuo na qualidade do habitat e de nœmero de subpopula?„es. Portanto, ? considerada como ""Criticamente em perigo"" (CR).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Dyschoriste%20smithii,AtlanticForest
ACANTHACEAE,Herpetacanthus longiflorus,Moric.,NT,,Julia Caram Sfair,Tainan Messina,"H. longiflorus ? uma esp‚cie encontrada em floresta ombr½fila densa atlŸntica, com diversas coletas e com distribui‡Æo ampla (EOO= 24.126,600 kmì). A floresta ombr½fila densa sofreu grande perda de habitat e a esp‚cie ocorre em ÿrea com forte press’o antr½pica. Ocorre em pelo menos tr?s unidades de conserva‡Æo, mas a popula‡Æo ? possivelmente severamente fragmentada devido ? baixa capacidade de dispers’o e a duas subpopula?„es disjuntas no Esp¡rito Santo. Dessa maneira, a esp‚cie ? considerada como ""Quase amea?ada"" (NT) de extin‡Æo. Caso a perda de habitat continue e a extens’o de ocorr?ncia diminua at? 20000 Kmì, a esp‚cie poderÿ ser considerada como amea?ada de extin‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Herpetacanthus%20longiflorus,AtlanticForest
ACANTHACEAE,Justicia brasiliana,Roth,LC,,Julia Caram Sfair,Tainan Messina,"esp‚cie amplamente distribu¡da pelo Brasil, ocorrendo em diversas fisionomias de Mata AtlŸntica e em diversas unidades de conserva‡Æo (SNUC) e possuindo grande abundŸncia no sul do Brasil. Apesar de ter uma amea?a pontual na restinga de Massambaba (RJ), especula‡Æo imobiliÿria, a ampla distribui‡Æo da esp‚cie e o grande nœmero de coletas indicam que a esp‚cie ? ""Menos preocupante"" (LC) quanto ao risco de extin‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20brasiliana,AtlanticForest
ACANTHACEAE,Justicia bullata,(Nees) Profice,DD,,Julia Caram Sfair,Tainan Messina,"J. bullata ? uma esp‚cie conhecida apenas pelo material tipo, coletado em Minas Gerais. N’o hÿ registro do local exato de coleta, tampouco do seu tamanho populacional e do seu estado de conserva‡Æo. Dessa maneira, essa esp‚cie ? considerada como ""Deficiente de dados"" (DD) e novos estudos devem ser feitos para a compreens’o do seu estado de conserva‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20bullata,AtlanticForest
ACANTHACEAE,Justicia catharinensis,Lindau,NT,,Julia Caram Sfair,Tainan Messina,"J. catharinensis ? uma esp‚cie herbÿcea encontrada em floresta ombr½fila densa atlŸntica, nos Estados de Santa Catarina, Paranÿ e S’o Paulo e apresenta ampla distribui‡Æo (EOO=25.667,420 kmì). Essa forma‡Æo florestal sofreu e ainda sofre grande perda de habitat. Por exemplo, Campina Grande do Sul, PR, perdeu 7,5% de habitat entre 2008 e 2010 (SOS Mata AtlŸntica).  uma esp‚cie severamente fragmentada por possuir baixa capacidade de dispers’o e pelo menos duas subpopula?„es disjuntas no Estado de S’o Paulo. Infelizmente a esp‚cie ocorre em apenas duas unidades de conserva‡Æo (SNUC). A esp‚cie poderia ser considerada como amea?ada de extin‡Æo. Entretanto, devido ? EOO ser um pouco maior do que 20.000 Kmì n’o ? poss¡vel considerÿ-la como amea?ada. Dessa maneira, a esp‚cie ? considerada como ""Quase amea?ada"" (NT). Se medidas de conserva‡Æo n’o forem tomadas para a recupera‡Æo de habitat de floresta ombr½fila na regi’o, a esp‚cie poderÿ ser considerada como amea?ada de extin‡Æo futuramente.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20catharinensis,AtlanticForest
ACANTHACEAE,Justicia clausseniana,(Nees) Profice,EN,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Justicia clausseniana ? uma esp‚cie com distribui‡Æo restrita (EOO=3.260,67 kmì). Todas as coletas foram feitas em ÿreas de Floresta Ombr½fila Densa, nas quais foi poss¡vel identificar de tr?s a cinco situa?„es de amea?a distintas. As ÿreas dessa forma‡Æo florestal nos Estados do Rio de Janeiro e Esp¡rito Santo sofreram forte press’o antr½pica e desmatamento nos œltimos 15 anos. O munic¡pio de Nova Friburgo, por exemplo, teve uma redu‡Æo de hÿbitat de cerca de 6% entre 2008 e 2010.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20clausseniana,AtlanticForest
ACANTHACEAE,Justicia congrua,(Nees ex Mart.) Lindau,LC,,Julia Caram Sfair,Tainan Messina," uma esp‚cie amplamente distribu¡da (EOO=269.633,59 kmì) em por?„es da Mata AtlŸntica encontradas principalmente no Esp¡rito Santo e na Bahia. Apesar de ser uma ÿrea que sofre uma alta press’o antr½pica, a esp‚cie ocorre em pelo menos quatro unidades de conserva‡Æo (SNUC). Dessa maneira, podemos caracterizar a esp‚cie como ""Menos preocupante"" (LC).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20congrua,AtlanticForest
ACANTHACEAE,Justicia cydoniifolia,(Nees) Lindau,LC,,Julia Caram Sfair,Tainan Messina,"esp‚cie amplamente distribu¡da (EOO=148.366,590 kmì) encontrada em ÿreas de floresta ombr½fila densa e restinga arbustiva na Mata AtlŸntica. Encontrada em pelo menos seis unidades de conserva‡Æo (SNUC). N’o hÿ registro de situa‡Æo de amea?a para a esp‚cie ou evid?ncia direta de decl¡nio populacional. Dessa maneira a esp‚cie ? considerada como ""Menos preocupante"" (LC) em rela‡Æo ao risco de extin‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20cydoniifolia,AtlanticForest
ACANTHACEAE,Justicia genuflexa,Nees & Mart.,VU,D2,Julia Caram Sfair,Tainan Messina,"Justicia genuflexa ? uma esp‚cie encontrada em apenas tr?s localidades, que foram consideradas em situa?„es de amea?a distintas. A esp‚cie estÿ protegida por uma unidade de conserva‡Æo (SNUC). O baixo nœmero de coletas pode evidenciar a distribui‡Æo restrita e o baixo nœmero de indiv¡duos. Sua limitada capacidade de dispers’o (dispers’o primÿria do tipo autocoria) associada ? incid?ncia de amea?as diversas pode, em um curto espa?o de tempo, levar a esp‚cie a ser inserida em categorias de risco de extin‡Æo mais preocupantes. Portanto, foi avaliada como ""Vulnerÿvel"" (VU).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20genuflexa,AtlanticForest
ACANTHACEAE,Justicia kleinii,Wassh. & L.B.Sm.,LC,,Julia Caram Sfair,Tainan Messina," uma esp‚cie amplamente distribu¡da (EOO=61.059,890 kmì) encontrada nos Estados de S’o Paulo, Paranÿ e Santa Catarina. Ocorre tamb‚m em pelo menos quatro unidades de conserva‡Æo (SNUC) e pode ser considerada como ""Menos preocupante"" (LC). Entretanto devem haver estudos para se verificar a conserva‡Æo da subpopula‡Æo encontrada mais no interior (Londrina, PR) e da subpopula‡Æo encontrada na ilha de Queimada Grande (SP).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20kleinii,AtlanticForest
ACANTHACEAE,Justicia laevilinguis,(Nees) Lindau,LC,,Julia Caram Sfair,Tainan Messina,"Apesar de ser pouco abundante nos locais onde ocorre, J. laevilinguis ocorre em praticamente em todo o Brasil (EOO=5.353.143,540 kmì), sendo encontrada nos biomas Amaz?nia, Mata AtlŸntica e Pantanal.  uma esp‚cie de potencial uso econ?mico, podendo ser usada como forrageira. Apesar dos registros em unidade de conserva‡Æo (SNUC) n’o serem frequentes, n’o hÿ informa‡Æo de uma amea?a principal para a esp‚cie. Dessa maneira, essa esp‚cie ? considerada como ""Menos preocupante"" (LC) em rela‡Æo a amea?a de extin‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20laevilinguis,Amazonia|AtlanticForest|Pantanal
ACANTHACEAE,Justicia lythroides,(Nees) V.A.W.Graham,LC,,Julia Caram Sfair,Tainan Messina,"J.  lythroides ? uma esp‚cie amplamente distribu¡da (EOO=740.997,34 kmì), ocorrendo em Floresta Ombr½fila Densa e Estacional Semidec¡dua e em pelo menos sete unidades de conserva‡Æo (SNUC). Entretanto a esp‚cie pode ser rara localmente, apesar das subpopula?„es serem estÿveis. Portanto a esp‚cie pode ser considerada como ""Menos preocupante"" (LC). Entretanto o estado de conserva‡Æo de uma subpopula‡Æo disjunta em Mato Grosso do Sul deve ser estudado.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20lythroides,Cerrado|AtlanticForest
ACANTHACEAE,Justicia paranaensis,(Rizzini) Wassh. & L.B.Sm.,EN,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Justicia paranaensis tem distribui‡Æo restrita (EOO=807,68 kmì) e ? encontrada em Florestas Ombr½filas dos Estados do Paranÿ e de Santa Catarina. N’o hÿ registro de ocorr?ncia em unidades de conserva‡Æo (SNUC).  amea?ada pela intensa perda de hÿbitat na regi’o. O munic¡pio de Ilhota (SC), por exemplo, perdeu 8% de suas florestas, enquanto o munic¡pio de Joinville (SC) apresentou uma redu‡Æo de 23,5% em sua vegeta‡Æo. J. paranaensis estÿ sujeita a cinco situa?„es de amea?a distintas. Dessa maneira, a esp‚cie foi considerada ""Em perigo"" (EN).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20paranaensis,AtlanticForest
ACANTHACEAE,Justicia polita,(Nees) Profice,EN,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Justicia polita ? uma esp‚cie de distribui‡Æo restrita (EOO=662,74 kmì), encontrada em ÿreas de Floresta Ombr½fila da regi’o serrana do Estado do Rio de Janeiro. Apesar de haver registro de sua ocorr?ncia dentro do Parque Nacional da Serra dos …rg’os, a esp‚cie tamb‚m pode ser encontrada proxima a estradas e trilhas que representam amea?as a essas subpopula?„es. A intensa press’o antr½pica na regi’o resulta em decl¡nio cont¡nuo da qualidade do hÿbitat. Devido a sua baixa capacidade de dispers’o, a estrutura populacional da esp‚cie foi classificada como severamente fragmentada. Dessa maneira, a esp‚cie foi considerada ""Em perigo"" (EN).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20polita,AtlanticForest
ACANTHACEAE,Justicia pseudoamazonica,Lindau,LC,,Julia Caram Sfair,Tainan Messina,"J. pseudoamazonia ? uma esp‚cie com poucos registros de ocorr?ncia na Amaz?nia. Apesar disso, ? amplamente distribu¡da (EOO=128.133,290 kmì ) e ocorre em uma unidade de conserva‡Æo (SNUC). N’o hÿ registro de situa‡Æo de amea?a paraa esp‚cie ou evid?ncia direta de decl¡nio populacional.Dessa maneira a esp‚cie ? considerada como ""Menos preocupante"" (LC).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20pseudoamazonica,Amazonia
ACANTHACEAE,Justicia ramulosa,(Morong) C.Ezcurra,VU,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Justicia ramulosa ocorre em diversos pa¡ses da Am?rica do Sul (Argentina, Bol¡via, Guatemala, Peru e Paraguai) e apresenta distribui‡Æo marginal no Brasil. No territ½rio nacional, a esp‚cie tem distribui‡Æo restrita (EOO= 8.639,930 kmì), ocorrendo nos Estados do Mato Grosso do Sul e Paranÿ, pr½ximo ? regi’o de fronteira. A ÿrea estÿ sujeita ao decl¡nio cont¡nuo da qualidade de hÿbitat. Foram identificadas tr?s situa?„es de amea?a distintas. A baixa efici?ncia do polinizador, expressa pela pouca quantidade de p½len registrada em beija-flores, pode evidenciar estresse decorrente da incid?ncia de amea?as. Assim, a esp‚cie foi considerada ""Vulnerÿvel"" (VU).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20ramulosa,AtlanticForest
ACANTHACEAE,Justicia scheidweileri,V.A.W.Graham,LC,,Julia Caram Sfair,Tainan Messina,"esp‚cie ornamental, conhecida como camar’o-rosa. Em seu habitat ? amplamente distribu¡da (EOO=332.562,89 kmì) e encontrada em ÿreas de floresta estacional semidec¡dua na Mata AtlŸntica. Encontrada em pelo menos duas unidades de conserva‡Æo (SNUC). N’o hÿ registro de situa‡Æo de amea?a para a esp‚cie ou evid?ncia direta de decl¡nio populacional. A esp‚cie forma densas moitas em alguns locais, indicando que ela pode ser abundante. Dessa maneira a esp‚cie ? considerada como ""Menos preocupante"" (LC) em rela‡Æo ao risco de extin‡Æo. Entretanto hÿ duas subpopula?„es disjuntas, uma no Estado de S’o Paulo e outra, no Paranÿ, que merecem ser estudadas para se avaliar seu estado de conserva‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20scheidweileri,AtlanticForest
ACANTHACEAE,Justicia symphyantha,(Nees ex Mart.) Lindau,LC,,Julia Caram Sfair,Tainan Messina,"esp‚cie amplamente distribu¡da (EOO=346.284,390 kmì) encontrada em ÿreas de florestaœmida na Mata AtlŸntica. Encontrada em pelomenos quatro unidades de conserva‡Æo (SNUC). N’o hÿ registro de situa‡Æo de amea?a paraa esp‚cie ou evid?ncia direta de decl¡nio populacional.Dessa maneira a esp‚cie ? considerada como ""Menos preocupante"" (LC) em rela‡Æo aorisco de extin‡Æo. Entretanto, ? necessÿrio avaliar o estado de conserva‡Æo entre as subpopula?„es do Esp¡rito Santo e da Bahia, uma vez que ocorrem de maneira bastante disjunta.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20symphyantha,AtlanticForest
ACANTHACEAE,Justicia tijucensis,V.A.W.Graham,VU,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Possui uma extens’o de ocorr?ncia menor do que 20.000 Kmì (EOO=18.125,44 kmì) e sofre decl¡nio cont¡nuo de qualidade de habitat. A maior parte de suas subpopula?„es ocorre no Parque Nacional da Floresta da Tijuca (Rio de Janeiro, RJ), ÿrea de floresta urbana com grande press’o antr½pica. Al?m disso, a esp‚cie apresenta distribui‡Æo disjunta entre os Estados do Rio de Janeiro e Esp¡rito Santo e possui baixa capacidade de dispers’o por ser autoc½rica, indicando uma estrutura populacional severamente fragmentada.  Dessa maneira, a esp‚cie pode ser considerada como ""Vulnerÿvel"" (VU).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20tijucensis,AtlanticForest
ACANTHACEAE,Justicia wasshauseniana,Profice,NT,,Julia Caram Sfair,Tainan Messina," uma esp‚cie encontrada em Floresta Ombr½fila Densa, ocorrendo nos Estados do Rio de Janeiro, Esp¡rito Santo e Bahia, em ÿreas de intensa press’o antr½pica. Possui apenas seis situa?„es de amea?a e pode ser severamente fragmentada por ter baixa capacidade de dispers’o (autocoria) e ter subpopula?„es disjuntas no Rio de Janeiro e Esp¡rito Santo. Entretanto, por possuir EOO de cerca de  149.840,99 kmì, a esp‚cie n’o pode ser enquadrada como amea?ada de extin‡Æo, sendo considerada como ""Quase amea?ada"" (NT).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Justicia%20wasshauseniana,AtlanticForest
ACANTHACEAE,Mendoncia mollis,Lindau,LC,,Julia Caram Sfair,Tainan Messina,"M. mollis ? uma trepadeira de ampla distribui‡Æo (EOO=207.452,63 kmì) encontrada em mata ciliar e diferentes fisionomias de Mata AtlŸntica e Cerrado. Al?m disso, essa esp‚cie ocorre em pelo menos duas unidades de conserva‡Æo (SNUC). Dessa maneira essa esp‚cie ? considerada como ""Menos preocupante"" (LC). Entretanto a ocorr?ncia no Estado de S’o Paulo ? questionada e novos estudos devem ser feitos para se verificar a ocorr?ncia dessa esp‚cie nesse Estado.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Mendoncia%20mollis,Cerrado|AtlanticForest
ACANTHACEAE,Odontonema dissitiflorum,(Nees) Kuntze,EN,B1ab(v),Julia Caram Sfair,Tainan Messina,"Odontonema dissitiflorum tem distribui‡Æo restrita (EOO=4.486,79 kmì) e ? encontrada em Florestas Ombr½filas nos Estados do Rio de Janeiro e Esp¡rito Santo, de forma disjunta. A esp‚cie ocorre em pelo menos duas unidades de conserva‡Æo (SNUC), onde foi feita a maioria das coletas. Foram identificadas cinco situa?„es de amea?a distintas. Devido ? reduzida capacidade de dispers’o da esp‚cie (s¡ndrome de dispers’o autoc½rica) e ?s evid?ncias de decl¡nio no nœmero de indiv¡duos maduros, foi considerada ""Em perigo"" (EN).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Odontonema%20dissitiflorum,AtlanticForest
ACANTHACEAE,Pseuderanthemum modestum,(Nees) Radlk.,LC,,Julia Caram Sfair,Tainan Messina,"esp‚cie amplamente distribu¡da (EOO=178.218,16 kmì) encontrada em Caatinga e em diferentes fisionomias de Mata AtlŸntica.  abundante em pelo menos um dos locais em que ocorre e n’o hÿ amea?a registrada para a esp‚cie. Por esses motivos, a esp‚cie pode ser considerada como ""Menos preocupante"" (LC). Entretanto, por apresentar uma popula‡Æo disjunta, o estado de conserva‡Æo das subpopula?„es  deve ser estudado.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Pseuderanthemum%20modestum,AtlanticForest|Caatinga
ACANTHACEAE,Pseuderanthemum riedelianum,(Nees) Radlk.,LC,,Julia Caram Sfair,Tainan Messina,"esp‚cie amplamente distribu¡da (EOO=66.261,010 kmì) encontrada em ÿreas de florestaombr½fila densa na Mata AtlŸntica, com a maioria dos registros de coleta feitos nos estados do Paranÿ e Santa Catarina. Encontrada em pelomenos cinco unidades de conserva‡Æo (SNUC). Apesar de ocorrer em ÿreas com forte press’o antr½pica, n’o hÿ registro de situa‡Æo de amea?a paraa esp‚cie ou evid?ncia direta de decl¡nio populacional.Dessa maneira a esp‚cie ? considerada como ""Menos preocupante"" (LC) em rela‡Æo aorisco de extin‡Æo. Devido ? distribui‡Æo disjunta em S’o Paulo, as subpopula?„es encontradas nesse estado devem ser estudadas com rela‡Æo ao seu estado de conserva‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Pseuderanthemum%20riedelianum,AtlanticForest
