"GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup","GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName","GeneralHabitats.GeneralHabitatsSubfield.majorImportance","GeneralHabitats.GeneralHabitatsSubfield.season","GeneralHabitats.GeneralHabitatsSubfield.suitability","internal_taxon_id"
NA,NA,NA,"resident","Suitable","sp53"
1.6,NA,NA,"resident","Suitable","sp54"
2.1,NA,NA,"resident","Suitable","sp54"
3.5,NA,NA,"resident","Suitable","sp54"
4.7,NA,NA,"resident","Suitable","sp54"
NA,NA,NA,"resident","Suitable","sp54"
NA,NA,NA,"resident","Suitable","sp54"
NA,NA,NA,"resident","Suitable","sp54"
NA,NA,NA,"resident","Suitable","sp54"
1.6,NA,NA,"resident","Suitable","sp55"
NA,NA,NA,"resident","Suitable","sp55"
NA,NA,NA,"resident","Suitable","sp55"
3.5,NA,NA,"resident","Suitable","sp56"
NA,NA,NA,"resident","Suitable","sp56"
1.6,NA,NA,"resident","Suitable","sp57"
NA,NA,NA,"resident","Suitable","sp57"
NA,NA,NA,"resident","Suitable","sp57"
4.7,NA,NA,"resident","Suitable","sp58"
NA,NA,NA,"resident","Suitable","sp58"
1.6,NA,NA,"resident","Suitable","sp59"
4.7,NA,NA,"resident","Suitable","sp59"
NA,NA,NA,"resident","Suitable","sp59"
NA,NA,NA,"resident","Suitable","sp59"
1.6,NA,NA,"resident","Suitable","sp60"
NA,NA,NA,"resident","Suitable","sp60"
1.6,NA,NA,"resident","Suitable","sp61"
NA,NA,NA,"resident","Suitable","sp61"
1.6,NA,NA,"resident","Suitable","sp62"
1.6,NA,NA,"resident","Suitable","sp63"
2.1,NA,NA,"resident","Suitable","sp63"
3.5,NA,NA,"resident","Suitable","sp63"
4.7,NA,NA,"resident","Suitable","sp63"
NA,NA,NA,"resident","Suitable","sp63"
NA,NA,NA,"resident","Suitable","sp63"
1.6,NA,NA,"resident","Suitable","sp64"
NA,NA,NA,"resident","Suitable","sp64"
2.1,NA,NA,"resident","Suitable","sp65"
1.6,NA,NA,"resident","Suitable","sp66"
3.5,NA,NA,"resident","Suitable","sp66"
NA,NA,NA,"resident","Suitable","sp66"
NA,NA,NA,"resident","Suitable","sp66"
NA,NA,NA,"resident","Suitable","sp66"
NA,NA,NA,"resident","Suitable","sp66"
1.6,NA,NA,"resident","Suitable","sp67"
NA,NA,NA,"resident","Suitable","sp67"
NA,NA,NA,"resident","Suitable","sp67"
4.7,NA,NA,"resident","Suitable","sp68"
4.7,NA,NA,"resident","Suitable","sp69"
NA,NA,NA,"resident","Suitable","sp69"
4.7,NA,NA,"resident","Suitable","sp70"
4.7,NA,NA,"resident","Suitable","sp71"
4.7,NA,NA,"resident","Suitable","sp72"
4.7,NA,NA,"resident","Suitable","sp73"
4.7,NA,NA,"resident","Suitable","sp74"
4.7,NA,NA,"resident","Suitable","sp75"
3.5,NA,NA,"resident","Suitable","sp76"
NA,NA,NA,"resident","Suitable","sp76"
NA,NA,NA,"resident","Suitable","sp77"
NA,NA,NA,"resident","Suitable","sp77"
1.5,NA,NA,"resident","Suitable","sp78"
1.6,NA,NA,"resident","Suitable","sp78"
2.1,NA,NA,"resident","Suitable","sp78"
3.5,NA,NA,"resident","Suitable","sp78"
NA,NA,NA,"resident","Suitable","sp78"
1.5,NA,NA,"resident","Suitable","sp79"
1.6,NA,NA,"resident","Suitable","sp79"
2.1,NA,NA,"resident","Suitable","sp79"
NA,NA,NA,"resident","Suitable","sp79"
NA,NA,NA,"resident","Suitable","sp79"
1.6,NA,NA,"resident","Suitable","sp80"
1.6,NA,NA,"resident","Suitable","sp81"
NA,NA,NA,"resident","Suitable","sp81"
1.6,NA,NA,"resident","Suitable","sp82"
2.1,NA,NA,"resident","Suitable","sp82"
NA,NA,NA,"resident","Suitable","sp83"
NA,NA,NA,"resident","Suitable","sp83"
NA,NA,NA,"resident","Suitable","sp84"
NA,NA,NA,"resident","Suitable","sp84"
1.6,NA,NA,"resident","Suitable","sp85"
3.5,NA,NA,"resident","Suitable","sp85"
NA,NA,NA,"resident","Suitable","sp85"
1.6,NA,NA,"resident","Suitable","sp86"
1.6,NA,NA,"resident","Suitable","sp87"
1.6,NA,NA,"resident","Suitable","sp88"
2.1,NA,NA,"resident","Suitable","sp88"
3.5,NA,NA,"resident","Suitable","sp88"
NA,NA,NA,"resident","Suitable","sp88"
1.6,NA,NA,"resident","Suitable","sp89"
2.1,NA,NA,"resident","Suitable","sp89"
NA,NA,NA,"resident","Suitable","sp89"
1.6,NA,NA,"resident","Suitable","sp90"
NA,NA,NA,"resident","Suitable","sp90"
NA,NA,NA,"resident","Suitable","sp91"
NA,NA,NA,"resident","Suitable","sp91"
1.6,NA,NA,"resident","Suitable","sp92"
NA,NA,NA,"resident","Suitable","sp92"
1.5,NA,NA,"resident","Suitable","sp93"
1.6,NA,NA,"resident","Suitable","sp93"
1.6,NA,NA,"resident","Suitable","sp94"
1.6,NA,NA,"resident","Suitable","sp95"
NA,NA,NA,"resident","Suitable","sp95"
1.5,NA,NA,"resident","Suitable","sp96"
NA,NA,NA,"resident","Suitable","sp96"
NA,NA,NA,"resident","Suitable","sp96"
1.6,NA,NA,"resident","Suitable","sp97"
1.5,NA,NA,"resident","Suitable","sp98"
1.6,NA,NA,"resident","Suitable","sp98"
NA,NA,NA,"resident","Suitable","sp98"
NA,NA,NA,"resident","Suitable","sp98"
1.6,NA,NA,"resident","Suitable","sp99"
NA,NA,NA,"resident","Suitable","sp99"
1.6,NA,NA,"resident","Suitable","sp100"
2.1,NA,NA,"resident","Suitable","sp100"
NA,NA,NA,"resident","Suitable","sp100"
1.6,NA,NA,"resident","Suitable","sp101"
2.1,NA,NA,"resident","Suitable","sp101"
NA,NA,NA,"resident","Suitable","sp101"
NA,NA,NA,"resident","Suitable","sp101"
1.6,NA,NA,"resident","Suitable","sp102"
2.1,NA,NA,"resident","Suitable","sp102"
3.5,NA,NA,"resident","Suitable","sp102"
4.7,NA,NA,"resident","Suitable","sp102"
NA,NA,NA,"resident","Suitable","sp102"
NA,NA,NA,"resident","Suitable","sp102"
NA,NA,NA,"resident","Suitable","sp102"
1.6,NA,NA,"resident","Suitable","sp103"
2.1,NA,NA,"resident","Suitable","sp103"
3.5,NA,NA,"resident","Suitable","sp103"
NA,NA,NA,"resident","Suitable","sp103"
1.5,NA,NA,"resident","Suitable","sp104"
1.6,NA,NA,"resident","Suitable","sp104"
NA,NA,NA,"resident","Suitable","sp104"
1.6,NA,NA,"resident","Suitable","sp105"
2.1,NA,NA,"resident","Suitable","sp105"
3.5,NA,NA,"resident","Suitable","sp105"
4.7,NA,NA,"resident","Suitable","sp105"
NA,NA,NA,"resident","Suitable","sp105"
NA,NA,NA,"resident","Suitable","sp105"
NA,NA,NA,"resident","Suitable","sp105"
1.6,NA,NA,"resident","Suitable","sp106"
1.6,NA,NA,"resident","Suitable","sp107"
1.6,NA,NA,"resident","Suitable","sp108"
1.6,NA,NA,"resident","Suitable","sp109"
1.6,NA,NA,"resident","Suitable","sp110"
1.6,NA,NA,"resident","Suitable","sp111"
3.5,NA,NA,"resident","Suitable","sp112"
NA,NA,NA,"resident","Suitable","sp112"
3.5,NA,NA,"resident","Suitable","sp113"
4.7,NA,NA,"resident","Suitable","sp113"
NA,NA,NA,"resident","Suitable","sp113"
1.6,NA,NA,"resident","Suitable","sp114"
1.6,NA,NA,"resident","Suitable","sp115"
1.6,NA,NA,"resident","Suitable","sp116"
2.1,NA,NA,"resident","Suitable","sp117"
3.5,NA,NA,"resident","Suitable","sp117"
4.7,NA,NA,"resident","Suitable","sp117"
1.6,NA,NA,"resident","Suitable","sp118"
1.6,NA,NA,"resident","Suitable","sp119"
2.1,NA,NA,"resident","Suitable","sp119"
3.5,NA,NA,"resident","Suitable","sp119"
NA,NA,NA,"resident","Suitable","sp119"
2.1,NA,NA,"resident","Suitable","sp120"
4.7,NA,NA,"resident","Suitable","sp120"
1.6,NA,NA,"resident","Suitable","sp121"
NA,NA,NA,"resident","Suitable","sp121"
NA,NA,NA,"resident","Suitable","sp121"
2.1,NA,NA,"resident","Suitable","sp122"
3.5,NA,NA,"resident","Suitable","sp122"
1.6,NA,NA,"resident","Suitable","sp123"
NA,NA,NA,"resident","Suitable","sp123"
NA,NA,NA,"resident","Suitable","sp123"
1.5,NA,NA,"resident","Suitable","sp124"
1.6,NA,NA,"resident","Suitable","sp124"
2.1,NA,NA,"resident","Suitable","sp124"
NA,NA,NA,"resident","Suitable","sp124"
NA,NA,NA,"resident","Suitable","sp124"
1.6,NA,NA,"resident","Suitable","sp125"
NA,NA,NA,"resident","Suitable","sp125"
1.6,NA,NA,"resident","Suitable","sp126"
NA,NA,NA,"resident","Suitable","sp126"
NA,NA,NA,"resident","Suitable","sp126"
NA,NA,NA,"resident","Suitable","sp126"
1.6,NA,NA,"resident","Suitable","sp127"
NA,NA,NA,"resident","Suitable","sp127"
1.6,NA,NA,"resident","Suitable","sp128"
NA,NA,NA,"resident","Suitable","sp128"
1.6,NA,NA,"resident","Suitable","sp129"
NA,NA,NA,"resident","Suitable","sp129"
1.6,NA,NA,"resident","Suitable","sp130"
1.5,NA,NA,"resident","Suitable","sp131"
1.6,NA,NA,"resident","Suitable","sp131"
NA,NA,NA,"resident","Suitable","sp131"
NA,NA,NA,"resident","Suitable","sp131"
1.6,NA,NA,"resident","Suitable","sp132"
2.1,NA,NA,"resident","Suitable","sp132"
1.6,NA,NA,"resident","Suitable","sp133"
3.5,NA,NA,"resident","Suitable","sp133"
NA,NA,NA,"resident","Suitable","sp133"
NA,NA,NA,"resident","Suitable","sp133"
1.6,NA,NA,"resident","Suitable","sp134"
2.1,NA,NA,"resident","Suitable","sp134"
3.5,NA,NA,"resident","Suitable","sp134"
NA,NA,NA,"resident","Suitable","sp134"
NA,NA,NA,"resident","Suitable","sp134"
2.1,NA,NA,"resident","Suitable","sp135"
1.5,NA,NA,"resident","Suitable","sp136"
1.6,NA,NA,"resident","Suitable","sp136"
2.1,NA,NA,"resident","Suitable","sp136"
NA,NA,NA,"resident","Suitable","sp136"
1.6,NA,NA,"resident","Suitable","sp137"
2.1,NA,NA,"resident","Suitable","sp137"
NA,NA,NA,"resident","Suitable","sp137"
NA,NA,NA,"resident","Suitable","sp137"
NA,NA,NA,"resident","Suitable","sp137"
1.5,NA,NA,"resident","Suitable","sp138"
1.6,NA,NA,"resident","Suitable","sp138"
2.1,NA,NA,"resident","Suitable","sp138"
NA,NA,NA,"resident","Suitable","sp138"
1.6,NA,NA,"resident","Suitable","sp139"
2.1,NA,NA,"resident","Suitable","sp139"
4.7,NA,NA,"resident","Suitable","sp139"
NA,NA,NA,"resident","Suitable","sp139"
4.7,NA,NA,"resident","Suitable","sp140"
1.5,NA,NA,"resident","Suitable","sp141"
1.6,NA,NA,"resident","Suitable","sp141"
2.1,NA,NA,"resident","Suitable","sp141"
NA,NA,NA,"resident","Suitable","sp141"
NA,NA,NA,"resident","Suitable","sp141"
NA,NA,NA,"resident","Suitable","sp141"
1.6,NA,NA,"resident","Suitable","sp142"
3.5,NA,NA,"resident","Suitable","sp142"
NA,NA,NA,"resident","Suitable","sp142"
NA,NA,NA,"resident","Suitable","sp142"
3.5,NA,NA,"resident","Suitable","sp143"
NA,NA,NA,"resident","Suitable","sp143"
NA,NA,NA,"resident","Suitable","sp143"
1.6,NA,NA,"resident","Suitable","sp144"
3.5,NA,NA,"resident","Suitable","sp145"
NA,NA,NA,"resident","Suitable","sp145"
1.6,NA,NA,"resident","Suitable","sp146"
1.6,NA,NA,"resident","Suitable","sp147"
NA,NA,NA,"resident","Suitable","sp147"
1.6,NA,NA,"resident","Suitable","sp148"
NA,NA,NA,"resident","Suitable","sp148"
NA,NA,NA,"resident","Suitable","sp148"
2.1,NA,NA,"resident","Suitable","sp149"
NA,NA,NA,"resident","Suitable","sp149"
1.6,NA,NA,"resident","Suitable","sp150"
2.1,NA,NA,"resident","Suitable","sp150"
1.6,NA,NA,"resident","Suitable","sp151"
2.1,NA,NA,"resident","Suitable","sp151"
NA,NA,NA,"resident","Suitable","sp151"
1.6,NA,NA,"resident","Suitable","sp152"
2.1,NA,NA,"resident","Suitable","sp152"
1.6,NA,NA,"resident","Suitable","sp153"
NA,NA,NA,"resident","Suitable","sp153"
1.6,NA,NA,"resident","Suitable","sp154"
2.1,NA,NA,"resident","Suitable","sp154"
3.5,NA,NA,"resident","Suitable","sp154"
NA,NA,NA,"resident","Suitable","sp154"
NA,NA,NA,"resident","Suitable","sp154"
1.5,NA,NA,"resident","Suitable","sp155"
1.6,NA,NA,"resident","Suitable","sp155"
2.1,NA,NA,"resident","Suitable","sp155"
1.6,NA,NA,"resident","Suitable","sp156"
1.6,NA,NA,"resident","Suitable","sp157"
3.5,NA,NA,"resident","Suitable","sp157"
NA,NA,NA,"resident","Suitable","sp157"
NA,NA,NA,"resident","Suitable","sp157"
NA,NA,NA,"resident","Suitable","sp157"
NA,NA,NA,"resident","Suitable","sp157"
2.1,NA,NA,"resident","Suitable","sp158"
NA,NA,NA,"resident","Suitable","sp158"
2.1,NA,NA,"resident","Suitable","sp159"
3.5,NA,NA,"resident","Suitable","sp159"
NA,NA,NA,"resident","Suitable","sp159"
1.6,NA,NA,"resident","Suitable","sp160"
1.6,NA,NA,"resident","Suitable","sp161"
1.5,NA,NA,"resident","Suitable","sp162"
1.6,NA,NA,"resident","Suitable","sp162"
3.5,NA,NA,"resident","Suitable","sp162"
NA,NA,NA,"resident","Suitable","sp162"
1.6,NA,NA,"resident","Suitable","sp163"
1.6,NA,NA,"resident","Suitable","sp164"
3.5,NA,NA,"resident","Suitable","sp164"
NA,NA,NA,"resident","Suitable","sp164"
NA,NA,NA,"resident","Suitable","sp164"
3.5,NA,NA,"resident","Suitable","sp165"
1.6,NA,NA,"resident","Suitable","sp166"
2.1,NA,NA,"resident","Suitable","sp166"
1.6,NA,NA,"resident","Suitable","sp167"
3.5,NA,NA,"resident","Suitable","sp167"
NA,NA,NA,"resident","Suitable","sp167"
NA,NA,NA,"resident","Suitable","sp167"
2.1,NA,NA,"resident","Suitable","sp168"
1.6,NA,NA,"resident","Suitable","sp169"
1.6,NA,NA,"resident","Suitable","sp170"
3.5,NA,NA,"resident","Suitable","sp171"
1.6,NA,NA,"resident","Suitable","sp172"
3.5,NA,NA,"resident","Suitable","sp172"
NA,NA,NA,"resident","Suitable","sp172"
1.6,NA,NA,"resident","Suitable","sp173"
1.5,NA,NA,"resident","Suitable","sp174"
1.6,NA,NA,"resident","Suitable","sp174"
2.1,NA,NA,"resident","Suitable","sp174"
NA,NA,NA,"resident","Suitable","sp174"
1.5,NA,NA,"resident","Suitable","sp175"
1.6,NA,NA,"resident","Suitable","sp175"
2.1,NA,NA,"resident","Suitable","sp175"
1.6,NA,NA,"resident","Suitable","sp176"
NA,NA,NA,"resident","Suitable","sp176"
1.6,NA,NA,"resident","Suitable","sp177"
2.1,NA,NA,"resident","Suitable","sp178"
2.1,NA,NA,"resident","Suitable","sp179"
3.5,NA,NA,"resident","Suitable","sp179"
NA,NA,NA,"resident","Suitable","sp179"
1.6,NA,NA,"resident","Suitable","sp180"
1.6,NA,NA,"resident","Suitable","sp181"
NA,NA,NA,"resident","Suitable","sp181"
NA,NA,NA,"resident","Suitable","sp181"
1.6,NA,NA,"resident","Suitable","sp182"
2.1,NA,NA,"resident","Suitable","sp182"
1.6,NA,NA,"resident","Suitable","sp183"
NA,NA,NA,"resident","Suitable","sp183"
1.6,NA,NA,"resident","Suitable","sp184"
2.1,NA,NA,"resident","Suitable","sp184"
1.6,NA,NA,"resident","Suitable","sp185"
3.5,NA,NA,"resident","Suitable","sp185"
NA,NA,NA,"resident","Suitable","sp185"
1.6,NA,NA,"resident","Suitable","sp186"
3.5,NA,NA,"resident","Suitable","sp187"
NA,NA,NA,"resident","Suitable","sp187"
2.1,NA,NA,"resident","Suitable","sp188"
3.5,NA,NA,"resident","Suitable","sp188"
4.7,NA,NA,"resident","Suitable","sp188"
2.1,NA,NA,"resident","Suitable","sp189"
3.5,NA,NA,"resident","Suitable","sp190"
NA,NA,NA,"resident","Suitable","sp190"
1.6,NA,NA,"resident","Suitable","sp191"
1.6,NA,NA,"resident","Suitable","sp192"
NA,NA,NA,"resident","Suitable","sp192"
2.1,NA,NA,"resident","Suitable","sp193"
4.7,NA,NA,"resident","Suitable","sp193"
2.1,NA,NA,"resident","Suitable","sp194"
2.1,NA,NA,"resident","Suitable","sp195"
1.6,NA,NA,"resident","Suitable","sp196"
2.1,NA,NA,"resident","Suitable","sp196"
NA,NA,NA,"resident","Suitable","sp196"
1.6,NA,NA,"resident","Suitable","sp197"
NA,NA,NA,"resident","Suitable","sp197"
1.6,NA,NA,"resident","Suitable","sp198"
2.1,NA,NA,"resident","Suitable","sp198"
3.5,NA,NA,"resident","Suitable","sp198"
NA,NA,NA,"resident","Suitable","sp198"
1.6,NA,NA,"resident","Suitable","sp199"
1.7,NA,NA,"resident","Suitable","sp200"
3.5,NA,NA,"resident","Suitable","sp200"
NA,NA,NA,"resident","Suitable","sp200"
NA,NA,NA,"resident","Suitable","sp200"
NA,NA,NA,"resident","Suitable","sp200"
2.1,NA,NA,"resident","Suitable","sp201"
2.1,NA,NA,"resident","Suitable","sp202"
4.7,NA,NA,"resident","Suitable","sp202"
1.6,NA,NA,"resident","Suitable","sp203"
2.1,NA,NA,"resident","Suitable","sp203"
3.5,NA,NA,"resident","Suitable","sp203"
NA,NA,NA,"resident","Suitable","sp203"
NA,NA,NA,"resident","Suitable","sp203"
NA,NA,NA,"resident","Suitable","sp203"
1.6,NA,NA,"resident","Suitable","sp204"
NA,NA,NA,"resident","Suitable","sp204"
1.6,NA,NA,"resident","Suitable","sp205"
2.1,NA,NA,"resident","Suitable","sp205"
1.6,NA,NA,"resident","Suitable","sp206"
3.5,NA,NA,"resident","Suitable","sp207"
NA,NA,NA,"resident","Suitable","sp207"
2.1,NA,NA,"resident","Suitable","sp208"
NA,NA,NA,"resident","Suitable","sp208"
1.6,NA,NA,"resident","Suitable","sp209"
1.6,NA,NA,"resident","Suitable","sp210"
NA,NA,NA,"resident","Suitable","sp210"
NA,NA,NA,"resident","Suitable","sp210"
2.1,NA,NA,"resident","Suitable","sp211"
2.1,NA,NA,"resident","Suitable","sp212"
2.1,NA,NA,"resident","Suitable","sp213"
4.7,NA,NA,"resident","Suitable","sp213"
1.6,NA,NA,"resident","Suitable","sp214"
1.6,NA,NA,"resident","Suitable","sp215"
NA,NA,NA,"resident","Suitable","sp215"
1.5,NA,NA,"resident","Suitable","sp216"
3.5,NA,NA,"resident","Suitable","sp216"
NA,NA,NA,"resident","Suitable","sp216"
1.6,NA,NA,"resident","Suitable","sp217"
2.1,NA,NA,"resident","Suitable","sp217"
3.5,NA,NA,"resident","Suitable","sp217"
4.7,NA,NA,"resident","Suitable","sp217"
NA,NA,NA,"resident","Suitable","sp217"
1.6,NA,NA,"resident","Suitable","sp218"
3.5,NA,NA,"resident","Suitable","sp218"
NA,NA,NA,"resident","Suitable","sp218"
1.6,NA,NA,"resident","Suitable","sp219"
NA,NA,NA,"resident","Suitable","sp219"
1.6,NA,NA,"resident","Suitable","sp220"
NA,NA,NA,"resident","Suitable","sp220"
NA,NA,NA,"resident","Suitable","sp220"
1.6,NA,NA,"resident","Suitable","sp221"
2.1,NA,NA,"resident","Suitable","sp221"
3.5,NA,NA,"resident","Suitable","sp221"
NA,NA,NA,"resident","Suitable","sp221"
NA,NA,NA,"resident","Suitable","sp221"
1.6,NA,NA,"resident","Suitable","sp222"
3.5,NA,NA,"resident","Suitable","sp222"
NA,NA,NA,"resident","Suitable","sp222"
NA,NA,NA,"resident","Suitable","sp222"
1.6,NA,NA,"resident","Suitable","sp223"
NA,NA,NA,"resident","Suitable","sp223"
1.5,NA,NA,"resident","Suitable","sp224"
1.6,NA,NA,"resident","Suitable","sp224"
2.1,NA,NA,"resident","Suitable","sp224"
3.5,NA,NA,"resident","Suitable","sp224"
NA,NA,NA,"resident","Suitable","sp224"
NA,NA,NA,"resident","Suitable","sp224"
NA,NA,NA,"resident","Suitable","sp224"
NA,NA,NA,"resident","Suitable","sp224"
NA,NA,NA,"resident","Suitable","sp224"
1.6,NA,NA,"resident","Suitable","sp225"
2.1,NA,NA,"resident","Suitable","sp225"
3.5,NA,NA,"resident","Suitable","sp226"
NA,NA,NA,"resident","Suitable","sp226"
1.6,NA,NA,"resident","Suitable","sp227"
3.5,NA,NA,"resident","Suitable","sp227"
NA,NA,NA,"resident","Suitable","sp227"
1.6,NA,NA,"resident","Suitable","sp228"
4.7,NA,NA,"resident","Suitable","sp228"
NA,NA,NA,"resident","Suitable","sp228"
1.6,NA,NA,"resident","Suitable","sp229"
2.1,NA,NA,"resident","Suitable","sp229"
NA,NA,NA,"resident","Suitable","sp229"
1.6,NA,NA,"resident","Suitable","sp230"
1.6,NA,NA,"resident","Suitable","sp231"
2.1,NA,NA,"resident","Suitable","sp232"
3.5,NA,NA,"resident","Suitable","sp232"
2.1,NA,NA,"resident","Suitable","sp233"
3.5,NA,NA,"resident","Suitable","sp233"
NA,NA,NA,"resident","Suitable","sp233"
1.6,NA,NA,"resident","Suitable","sp234"
1.6,NA,NA,"resident","Suitable","sp235"
2.1,NA,NA,"resident","Suitable","sp235"
NA,NA,NA,"resident","Suitable","sp235"
NA,NA,NA,"resident","Suitable","sp235"
1.6,NA,NA,"resident","Suitable","sp236"
2.1,NA,NA,"resident","Suitable","sp236"
NA,NA,NA,"resident","Suitable","sp236"
1.6,NA,NA,"resident","Suitable","sp237"
2.1,NA,NA,"resident","Suitable","sp237"
3.5,NA,NA,"resident","Suitable","sp237"
NA,NA,NA,"resident","Suitable","sp237"
1.6,NA,NA,"resident","Suitable","sp238"
NA,NA,NA,"resident","Suitable","sp238"
1.6,NA,NA,"resident","Suitable","sp239"
1.5,NA,NA,"resident","Suitable","sp240"
1.6,NA,NA,"resident","Suitable","sp240"
2.1,NA,NA,"resident","Suitable","sp240"
