"Redlist_id","TaxonomicNotes.value","classname","family","genus","infraType","infra_authority","infra_name","internal_taxon_id","kingdom","ordername","phylum","species","taxonomicAuthority"
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Syst. Veg.,4(2): 315,1827. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Euphorbiaceae","Acalypha",NA,NA,NA,"sp20","Plantae","Malpighiales","Tracheophyta","gracilis","Spreng."
146790439,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Pl. Hort. Schoenbr.,2: 63, t. 245,1797. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Euphorbiaceae","Acalypha",NA,NA,NA,"sp21","Plantae","Malpighiales","Tracheophyta","macrostachya","Jacq."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Linnaea,34: 53,1865. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Euphorbiaceae","Acalypha",NA,NA,NA,"sp22","Plantae","Malpighiales","Tracheophyta","multicaulis","Müll.Arg."
149206660,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Enum. Syst. Pl.,32,1760. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Euphorbiaceae","Acalypha",NA,NA,NA,"sp23","Plantae","Malpighiales","Tracheophyta","villosa","Jacq."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Saint-Hilaire A. 1828. Annales de la Société des Sciences, Belles-Lettres,9: 56. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Polygalaceae","Acanthocladus",NA,NA,NA,"sp24","Plantae","Fabales","Tracheophyta","brasiliensis","(A.St.-Hil. & Moq.) Klotzsch ex Hassk."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: J.F.B.Pastore 2016. Phytotaxa,286(1): 54-56. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Polygalaceae","Acanthocladus",NA,NA,NA,"sp25","Plantae","Fabales","Tracheophyta","dichromus","(Steud.) J.F.B.Pastore"
NA,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Novon 20(3): 321–322, 2010. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Polygalaceae","Acanthocladus",NA,NA,NA,"sp26","Plantae","Fabales","Tracheophyta","pulcherrimus","(Kuhlm.) J.F.B.Pastore & D.B.O.S.Cardoso"
NA,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Novon 20(3): 322, f. 2, 2010. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Polygalaceae","Acanthocladus",NA,NA,NA,"sp27","Plantae","Fabales","Tracheophyta","santosii","(Wurdack) J.F.B.Pastore & D.B.O.S.Cardoso"
NA,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Anais Congr. Soc. Bot. Brasil 19: 108, 1968. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Árvores, 12-15 m de altura; ramos terminais com espinhos esparsos, 1 cm de compr., retos. Folhas alternas, sem braquiblastos; pecioladas, pecíolo 2-3 cm de compr.; lâminas oblongas, ápice acuminado, base decurrente, 10-20 x 5-8 cm. Flores flores distribuídas ao longo da raque, raque glabra; 5 tépalas, externamente glabras. Fruto glabro; globoso; epicarpo esverdeado ou amarelo; 6-8 cm de diâmetro.","Magnoliopsida","Santalaceae","Acanthosyris",NA,NA,NA,"sp28","Plantae","Santalales","Tracheophyta","paulo-alvinii","G.M. Barroso"
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Fl. bras.,vol. 13, part. 1, tab. 53. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Arbustos ou árvores, 2-3 m de altura; ramos terminais com espinhos, 1 cm de compr., retos. Folhas alternas, com braquiblastos; curto-pecioladas, pecíolo 0,5 cm de compr.; lâminas obovadas, raro elípticas, ápice arredondado, base decurrente, 2-6 x 0,5-1,5 cm. Flores agrupadas no ápice da inflorescência, glabra; (3-4) 5 (6) tépalas, externamente glabras. Fruto glabro; globoso; epicarpo amarelo; 1,5-2 cm de diâmetro.","Magnoliopsida","Santalaceae","Acanthosyris",NA,NA,NA,"sp29","Plantae","Santalales","Tracheophyta","spinescens","(Mart. & Eichler) Griseb."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Landrum, L.R. 1990. Syst. Bot.,15: 221. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Subarbustos a arbustos, raramente pequenas árvores. Plantas glabras, exceto pelas pétalas, lobos do cálice internamente e ramos novos pubérulos a pubescentes. Ramos angulosos. Folhas sésseis ou com pecíolos de até 2 mm compr.; lâminas coriáceas, discolores, elípticas a oblanceoladas ou obovadas, ápice agudo a acuminado, base aguda a cuneada, margem revoluta, nervura primária plana adaxialmente e saliente abaxialmente, nervuras secundárias visíveis ou inconspícuas em ambas as faces, uma nervura marginal. Pedúnculos unifloros, axilares; bractéolas estreitamente triangulares, caducas na antese. Flores com cálice fechado no botão floral, abrindo-se em 4 lobos regulares, triangulares; pétalas 4, brancas; hipanto campanulado; disco estaminal puberulento, estames ca. 200, anteras com uma glândula terminal; ovário 4-locular, óvulos 25-30. Frutos subglobosos, glabros, coroados pelos lobos do cálice; sementes ca. 40, mais ou menos brilhantes; embrião mirtóide.","Magnoliopsida","Myrtaceae","Accara",NA,NA,NA,"sp30","Plantae","Myrtales","Tracheophyta","elegans","(DC.) Landrum"
144307218,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Grisebach, A.H.R. 1879. Abh. Königl. Ges. Wiss. Göttingen,24: 32. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Árvores , 2-4m alt., ramos delgados, inermes ou armados, pubescentes ou glabros, gemas protegidas por catáfilos. pecíolo de 3-12mm, pubescente ou glabro, canaliculado na parte superior; lâmina cartácea 3,5-10,5x1,6-4,3cm,&nbsp; elíptica a lanceolada, ápice agudo a mucronado, base decorrente, glabra na face adaxial, pubescente ou glabra na face abaxial. Inflorescência 5-10 flora, raque de 2,5-6cm, pubescente a glabra. pedicelo 1,5-3mm, pubescente a glabro, espessado em direção ao ápice; bráctea e bractéola, 0,5-1mm, estreitamente triangulares a deltadas; tépalas 2,5-4x1,8-3mm, elíptico-obovadas, arredondadas ou emarginadas no ápice; f.","Magnoliopsida","Achatocarpaceae","Achatocarpus",NA,NA,NA,"sp31","Plantae","Caryophyllales","Tracheophyta","praecox","Griseb."
177816686,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Notes Roy. Bot. Gard. Edinburgh 29(3): 350, 1969. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Acosmium",NA,NA,NA,"sp32","Plantae","Fabales","Tracheophyta","diffusissimum","(Mohlenbr.) Yakovlev"
177828048,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Syst. Veg. [Sprengel] 4(2): 406, 1827. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Acosmium",NA,NA,NA,"sp33","Plantae","Fabales","Tracheophyta","lentiscifolium","Schott"
149206725,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Phytologia 24: 402, 1972. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Asteraceae","Acritopappus",NA,NA,NA,"sp34","Plantae","Asterales","Tracheophyta","confertus","(Gardner) R.M.King & H.Rob."
NA,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Phytologia 48: 221, 1981. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Asteraceae","Acritopappus",NA,NA,NA,"sp35","Plantae","Asterales","Tracheophyta","connatifolius","(Soar.Nunes) R.M.King & H.Rob."
149206784,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Phytologia 45: 147, 1980. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Asteraceae","Acritopappus",NA,NA,NA,"sp36","Plantae","Asterales","Tracheophyta","heterolepis","(Baker) R.M.King & H.Rob."
177819171,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Phytologia 45: 144, 1980. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Asteraceae","Acritopappus",NA,NA,NA,"sp37","Plantae","Asterales","Tracheophyta","prunifolius","R.M.King & H.Rob."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Martius CFP von 1845. Historia Naturalis Palmarum,3: 286. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Palmeira com estipe solitário, cilíndrico, raramente com algum intumescimento, anelado, armado, 5–15 m de altura × 15–40 cm de diâmetro, revestido pelas bainhas persistentes das folhas já caídas em sua totalidade ou em parte. Folhas pinadas, 20–40 contemporâneas; bainha de 45–65 cm × 25–40 cm; pecíolo normalmente armado, de 15–30 cm de comprimento; raque foliar de 1.5–3 m de comprimento, frequentemente coberta com espinhos de tamanhos diferentes; pinas lineares, usualmente com espinhos normalmente inseridos na porção basal, 120–150 por lado, inseridas irregularmente e dispostas em vários planos, conferindo à folha um aspecto plumoso. Inflorescências interfoliares, ramificadas ao nível de primeira ordem; bráctea peduncular lenhosa, medindo de 55–90 cm&nbsp; de comprimento; pedúnculo normalmente armado, de 40–60 cm de comprimento; raque da inflorescência de 50–80 cm de comprimento, 150–230 ráquilas. Flores amarelas, as pistiladas inseridas na base das ráquilas sempre formando tríades e flores estaminadas em grande número nos dois terços distais. Frutos globosos, 3.3–5.8 cm de diâmetro; epicarpo cartáceo, normalmente verde-amarelado; mesocarpo carnoso, fibroso, mucilaginoso, de coloração normalmente amarelada, mas podendo apresentar outras cores; endocarpo ósseo, espesso, marrom escuro, fortemente aderido ao mesocarpo; 1–4 sementes com grande quantidade de endosperma sólido adnato ao endocarpo.","Magnoliopsida","Arecaceae","Acrocomia",NA,NA,NA,"sp38","Plantae","Arecales","Tracheophyta","aculeata","(Jacq.) Lodd. ex Mart."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Drude O 1882. Flora Brasilensis,3(2): 391.|Drude O 1882. Flora Brasilensis,3(2): 251-464, t. 84. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Palmeira com estipe solitário, cilíndrico, anelado, com intumescimento bastante evidente normalmente na região mediana e raramente na porção mais basal ou apical do estipe, anelado, de 3–18 m de altura, densamente armado nos indivíduos jovens e liso nas plantas adultas. Folhas pinadas, 20–30 contemporâneas, decíduas; bainha, pecíolo e raque densamente armados; raque foliar de 1.9–2.5 m de comprimento; pinas lineares, 130–190 por lado, as da porção mediana de &nbsp;58–90 cm de comprimento × 0.5–2.8 cm de largura, inseridas regularmente e dispostas em vários planos, conferindo à folha um aspecto plumoso. Inflorescências interfoliares, ramificadas ao nível de primeira ordem; bráctea peduncular lenhosa, medindo de 90–155 cm de comprimento; pedunculada; raque da inflorescência de 65–110 cm de comprimento, 280–350 ráquilas. Flores amarelas, as pistiladas inseridas na base das ráquilas sempre formando tríades e flores estaminadas em grande número nos dois terços distais. Frutos globosos a subglobosos, de 3–5.2 cm de diâmetro, epicarpo cartáceo, normalmente verde-amarelado; revestidos por tomento castanho ou levemente papilhoso e brilhante; mesocarpo carnoso, fibroso, mucilaginoso, amarelo; endocarpo ósseo, espesso, marrom escuro, fortemente aderido ao mesocarpo; 1–2 sementes com grande quantidade de endosperma sólido adnato ao endocarpo.","Magnoliopsida","Arecaceae","Acrocomia",NA,NA,NA,"sp39","Plantae","Arecales","Tracheophyta","intumescens","Drude"
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Jablonski, E. 1969. Phytologia,18(4): 229. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Arbustos ou árvores 1-6 m alt. Catafilos inferiores, largamente triangulares a ovais, coriáceos, sem nervuras evidentes, glabros a glabrescentes, margem às vezes levemente pubescente, caducos, deixando cicatrizes conspícuas; catafilos superiores espatulados a lineares, membranáceos, com nervuras evidentes, persistentes, vilosos no ápice. Folhas 2-5 pseudoverticiladas a agrupadas no ápice dos ramos; gemas na axila das folhas ausentes a inconspícuas; estípulas triangulares, glabras, persistentes a tardiamente caducas; pecíolo até 24 mm compr., pubescente a glabro; lâmina obovada, às vezes elíptica, base cuneada, ápice obtuso a agudo, cartácea, glabra, às vezes ciliada nas folhas jovens. Inflorescência, não ramificada, racemo-cimosa, não subtendida por brácteas; bráctea das címulas lanceolada a triangular, biglandular, glabra a ciliada; glândulas discoides. Flores estaminadas centrais monoclamídeas, laterais aclamídeas; pedicelo até 4,1 mm compr., glabro; sépalas lanceoladas, sem glândulas, glabras; estames 5-18. Flores pistiladas monoclamídeas; pedicelo até 1,4 mm compr., glabro a pubescente; sépalas triangulares, sem glândulas ou biglandulares estipitadas, glabras a vilosas na margem; ovário glabro, às vezes glabrescente; carpelos com dois apêndices de base robusta, estiletes até 5,3 mm compr., coluna até 1,4 mm compr. Cápsula glabra; pedicelo até 3,5 cm compr.; columela 3-alada. Sementes oblongas, sem máculas.","Magnoliopsida","Euphorbiaceae","Actinostemon",NA,NA,NA,"sp40","Plantae","Malpighiales","Tracheophyta","appendiculatus","Jabl."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Hochr. 1910. Bull. New York Bot. Gard.,6: 278. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Subarbustos a árvore 1-9 m alt. Catafilos inferiores largamente triangulares a espatulados, c , com nervuras evidentes, glabros a vilosos no ápice, raramente velutinos a velutino-vilosos, caducos a persistentes; catafilos superiores lineares a espatulados, membranáceos, com nervuras evidentes, glabros a vilosos nas margens, persistentes. Folhas alternas, com anisofilias em geral uniformemente distribuídas ao longo dos ramos; gemas na axila das folhas conspícuas, geralmente presentes; estípulas caducas; pecíolo 2-16 seríceo, velutino ou glabrescente; lâmina 2,5-9 × 0,8-3,8 cm, elíptica a ovada, base cuneada, ápice cuneado a obtuso, membranácea, glabra; glândulas inconspícuas. Inflorescência racemo-cimosa, axilar ou sub.","Magnoliopsida","Euphorbiaceae","Actinostemon",NA,NA,NA,"sp41","Plantae","Malpighiales","Tracheophyta","concepcionis","(Chodat & Hassl.) Hochr."
