order,code,description,threat,definition,examples,exposition
25,5.1,Legislation,no,"Making, implementing, changing, influencing, or providing input into formal government sector legislation or polices at all levels: international, national, state/provincial, local, tribal",,"Public legislation refers to the official legal code governing society – what some people refer to as ""hard law."""
26,5.1.1,International level,depend (if threatened and not endemic),,"List the type of legislation and the specific action being taken e.g., promoting conventions on biodiversity, wildlife trade laws like CITES, regional legislation like the European Habitats Directive, etc.",
27,5.1.2,National level,depend (if threatened and endemic),,"List the type of legislation and the specific action being taken e.g., work for or against government laws such as the US Endangered Species Act, influencing legislative appropriations, etc.",
28,5.1.3,Sub-national level,no,,"List the type of legislation and the specific action being taken e.g., State/Pprovincial: state ballot initiatives, providing data to state policy makers, developing pollution permitting systems, dam relicensing Local: developing zoning regulations, countryside laws, species protection laws, hunting bans Tribal: creating tribal laws, etc.",
29,5.1.4,Scale unspecified,depend,,List the type of legislation and the specific action being taken,
30,5.2,Policies and regulations,depend (if overharvested),"Making, implementing, changing, influencing, or providing input into policies and regulations affecting the implementation of laws at all levels: international, national, state/provincial, local/community, tribal","Input into agency plans regulating certain species or resources, working with local governments or communities to implement zoning regulations; promoting sustainable harvest of timber on state forest lands, etc.","Policies and regulations are how legislation gets implemented – what some people refer to as ""soft law."" This is a relatively narrow definition of the word ""policy."""
31,5.3,Private sector standards & codes,no,"Setting, implementing, changing, influencing, or providing input into voluntary standards & professional codes that govern private sector practice","Marine & Forest Stewardship Councils, Marine Aquarium Council, Conservation Measures Partnership (CMP) Open Standards, corporate adoption of forestry best management practices, sustainable grazing by a rancher, etc.",These are codes of practice that are adopted by an organization or industry on a voluntary (as opposed to mandated) basis. Mandatory laws and regulations fall under 5.1 Legislation or 5.2 Policies & Regulations.
32,5.4,Compliance and enforcement,no,"Monitoring and enforcing compliance with laws, policies & regulations, and standards & codes at all levels",,"Laws, policies, regulations, and standards are useless if they are not implemented and enforced. Some organizations merely try to monitor compliance whereas others have the power of enforcement."
33,5.4.1,International level,depend (if CITES),,,"Select the relevant level(s) and list the action e.g., CITES enforcement, water quality standard monitoring, initiating criminal and civil litigation, etc."
34,5.4.2,National level,no,,,"Select the relevant level(s) and list the action e.g., CITES enforcement, water quality standard monitoring, initiating criminal and civil litigation, etc."
35,5.4.3,Sub-national level,no,,,"Select the relevant level(s) and list the action e.g., CITES enforcement, water quality standard monitoring, initiating criminal and civil litigation, etc."
36,5.4.4,Scale unspecified,no,,,"Select the relevant level(s) and list the action e.g., CITES enforcement, water quality standard monitoring, initiating criminal and civil litigation, etc."
37,6,"Livelihood, economic & other incentives",no,Actions to use economic and other incentives to influence behaviour,,This class of actions has been gaining in popularity in the past few years.
38,6.1,Linked enterprises & livelihood alternatives,no,Developing enterprises that directly depend on the maintenance of natural resources or provide substitute livelihoods as a means of changing behaviours and attitudes,"ecotourism, non-timber forest product harvesting, harvesting wild salmon to create value for wild population, etc.","In linked enterprises, the health of the enterprise directly depends on the health of the biodiversity - for example, a community homestay that depends on tourists coming to visit an intact coral reef. Livelihood alternatives are established to move people from destructive actions to non-destructive ones -- for example, a community homestay that keeps the operator from working as a logger."
39,6.2,Substitution,depend (if overharvested),Promoting alternative products and services that substitute for environmentally damaging ones,"Viagra for rhino horn, farmed salmon as a replacement for pressure on wild populations, promoting recycling and use of recycled materials, etc.",This category involves developing products and services explicitly to remove pressure from biodiversity.
40,6.3,Market forces,depend (if threatened wood),Using market mechanisms to change behaviours and attitudes,"certification, positive incentives, boycotts, negative incentives, grass & forest banking, valuation of ecosystem services such as flood control, etc.",This category includes both positive and negative incentives for conservation. This category deals with incentive-based standards; non-incentive standards go in 5.2 Policies & Regulations.
41,6.4,Conservation payments,no,Using direct or indirect payments to change behaviours and attitudes,"quid-pro-quo performance payments, resource tenure incentives, etc.",This category involves a direct payment for conservation behaviours.
42,6.5,Non-monetary values,no,Using intangible values to change behaviours and attitudes,"spiritual, cultural, links to human health, etc.","This category cuts across the others in this class, but involves those cases where the incentives are not financial."
43,7,External Capacity Building,no,Actions to build the infrastructure to do better conservation,,"Every organization has to develop its own capacity to design, implement, manage, and learn from its work. These basic functions are not considered part of this classification scheme. However, if a group does this type of work to help partner organizations, then it should be part of this class."
44,7.1,Institutional & Civil Society Development,depend (if CR or CR PE),"Creating or providing non-financial support & capacity building for non-profits, government agencies, communities, and for-profits","creating new local land trusts, providing circuit riders to help develop organizational capacity, etc.",Building conservation institutions.
45,7.2,Alliance & Partnership Development,depend (if CR or CR PE),"Forming and facilitating partnerships, alliances, and networks of organizations","country networks, Conservation Measures Partnership (CMP), Cambridge Conservation Initiative (CCI), etc.","Promoting cross-organizational informational sharing, learning, and collaboration."
46,7.3,Conservation Finance,no,Raising and providing funds for conservation work,"private foundations, debt-for-nature swaps",Providing the financial resources for conservation.
47,100.1,OLD 1 Policy-based actions,no,,,
48,100.1,OLD 4 Habitat and site-based actions,no,,,
49,100.11,OLD 4.4 Habitat and site-based actions->Protected areas,no,,,
50,100.12,OLD 4.6 Habitat and site-based actions->Other,no,,,
51,100.13,OLD 5 Species-based actions,no,,,
52,100.14,OLD 5.3 Species-based actions->Sustainable use,no,,,
53,100.15,OLD 5.7 Species-based actions->Ex situ conservation actions,no,,,
54,100.16,OLD 5.8 Species-based actions->Other,no,,,
55,100.17,OLD 6 Other,no,,,
56,100.18,OLD 3-Research Actions,no,,,
57,100.2,OLD 1.1 Policy-based actions->Management Plans,no,,,
58,100.3,OLD 1.1.1 Policy-based actions->Management Plans->Development,no,,,
59,100.4,OLD 1.1.2 Policy-based actions->Management Plans->Implementation,no,,,
60,100.5,OLD 1.2 Policy-based actions->Legislation,no,,,
61,100.6,OLD 1.3 Policy-based actions->Community management,no,,,
62,100.7,OLD 1.4 Policy-based actions->Other,no,,,
63,100.8,OLD 2 Communication and Education,no,,,
64,100.9,OLD 2.4 Communication and Education->Other,no,,,
