order,code,description,threat,definition,examples,exposition
15,2.3,Livestock farming & ranching,yes,Domestic terrestrial animals raised in one location on farmed or non-local resources (farming); also domestic or semi-domesticated animals allowed to roam in the wild and supported by natural habitats (ranching),,"In farming, animals are kept in captivity; in ranching they are allowed to roam in wild habitats. If a few animals are mixed in a subsistence cropping system, it belongs in 2.1 Annual & Perennial Non-Timber Crops. Forage of wild resources for stall-fed animals falls under 5.2 Gathering Terrestrial Plants. Domesticated livestock that has gone feral should be treated under 8.1 Invasive Non-native/Alien Species, but other wild-roaming livestock may also require closer consideration to determine if they are best placed here or also under 8.1."
16,2.3.1,Nomadic grazing,no,"Pastoralists who are normally only present for part of the year, usually after good rains have improved the grazing.",,
17,2.3.2,"Small-holder grazing, ranching or farming",no,,,
18,2.3.3,"Agro-industry grazing, ranching or farming",yes,,,
19,2.3.4,Scale Unknown/Unrecorded,no,,,
20,2.4,Marine & freshwater aquaculture,no,,,
21,2.4.1,Subsistence/artisinal aquaculture,no,,,
22,2.4.2,Industrial aquaculture,no,,,
23,2.4.3,Scale Unknown/Unrecorded,no,,,
24,3,Energy production & mining,no,,,
25,3.1,Oil & gas drilling,no,,,
26,3.2,Mining & quarrying,yes?,"Exploring for, developing, and producing minerals and rocks","coal strip mines, alluvial gold panning, gold mines, rock quarries, sand/salt mines, coral mining, deep sea nodules, guano harvesting, dredging outside of shipping lanes, etc.",It is a judgement call whether deforestation caused by strip mining should be in this category or in 5.3 Logging & Wood Harvesting - it depends on whether the primary motivation for the deforestation is access to the trees or to the minerals. Sediment or toxic chemical runoff from mining should be placed in 9.2 Industrial & Military Effluents if it is the major threat from a mining operation.
27,3.3,Renewable energy,no,,,
28,4,Transportation & service corridors,yes?,"This class includes transportation corridors outside of human settlements and industrial developments. These corridors create specific stresses to biodiversity including especially fragmentation of habitats and lead to other threats including farms, invasive species, and poachers.",,Threats from long narrow transport corridors and the vehicles that use them including associated wildlife mortality
29,4.1,Roads & railroads,yes?,Surface transport on roadways and dedicated tracks,"highways, secondary roads, primitive roads, logging roads, bridges & causeways, road kill, fencing associated with roads, freight/passenger/mining railroads, etc.","Off-road vehicles are treated in the appropriate category in 6. Human Intrusions & Disturbance. If there are small roads associated with a major utility line, they belong in 4.2. Utility & Service Lines."
30,4.2,Utility & service lines,yes?,Transport of energy & resources,"electrical & phone wires, aqueducts, oil & gas pipelines, electrocution of wildlife, etc.","Cell phone and other communication towers connected by small access roads belong here. If there are small utility lines using a road right of way, they belong in 4.1 Roads & Railroads. Oil spills from pipelines should go in 9.2 Industrial & Military Effluents."
31,4.3,Shipping lanes,no,,,
32,4.4,Flight paths,no,Air and space transport,"flight paths, jets impacting birds, etc.",Airports fall into 1.2 Commercial & Industrial Areas.
33,5,Biological resource use,yes?,"Threats from consumptive use of ""wild"" biological resources including both deliberate and unintentional harvesting effects; also persecution or control of specific species",,"Consumptive use means that the resource is removed from the system or destroyed - multiple people cannot use the same resource, as they could under 6. Human Intrusions & Disturbance. Threats in the class can affect both target species (harvest of desired trees or fish species) as well as ""collateral damage"" to non-target species (trees damaged by felling or fisheries bycatch) and habitats (coral reefs destroyed by trawling). Persecution/control involves harming or killing species because they are considered undesirable. For some of the use threats there is an additional question on whether or not International trade is a significant driver of decline (5.1.1, 5.2.1, 5.3.1, 5.3.2, 5.4.1, 5.4.2)."
34,5.1,Hunting & trapping terrestrial animals,no,"Killing or trapping terrestrial wild animals or animal products for commercial, recreation, subsistence, research or cultural purposes, or for control/persecution reasons; includes accidental mortality/bycatch",,"This category focuses on animals that primarily live in a terrestrial environment. There are obviously some species that live on the terrestrial/aquatic boundary. Hunting otters, beavers, amphibians, polar bears, penguins, waterfowl, and sea birds should (somewhat arbitrarily) go here. Hunting seals, whales and other marine mammals, and freshwater and marine turtles go in 5.4 Fishing & Harvesting Aquatic Resources. Yes, most people ""gather"" honey, eggs, or insects or other slow moving targets, rather than ""hunt"" them. But for consistency it was decided to keep all animal products as being hunted. This option does not distinguish between small and large scale (unlike others below) as generally most hunting and collecting of animals is small scale, but arguably some hunting in the past was very large ""industrial"" scale."
35,5.1.1,Intentional use (species is the target),yes?,,"bushmeat hunting, trophy hunting, beaver trapping, butterfly collecting, honey or bird nest hunting, etc.",
36,5.1.2,Unintentional effects (species is not the target),yes?,,"pest control often impacts non-targeted species, hunter's dogs may chase after and kill other non-target species during a hunt, loss of a species' prey base due to over-harvesting by humans of their prey, etc.","For species unintentionally impacted the stress is usually coded as mortality, however, in the case of species' losing their prey base the stress would be coded as 2.3.8 Indirect Species Effects - Other."
37,5.1.3,Persecution/control,no,,"wolf control, pest control, persecution of snakes because of superstition, etc.",
38,5.1.4,Motivation Unknown/Unrecorded,no,,,"It is not known if the hunting or collection is intentional, unintentional or if it is persecution/control."
39,5.2,Gathering terrestrial plants,yes?,"Harvesting plants, fungi, and other non-timber/non-animal products for commercial, recreation, subsistence, research or cultural purposes, or for control reasons",,"This category focuses on plants, mushrooms, and other non-animal terrestrial species except trees which are treated in 5.3 Logging & Wood Harvesting."
40,5.2.1,Intentional use (species is the target),yes?,,"wild mushroom collection, forage for stall fed animals, orchid collection, rattan harvesting, etc.",
41,5.2.2,Unintentional effects (species is not the target),yes?,,"other plants accidientally removed/killed as a result of methods/approach used to harvest a target species, etc.",
42,5.2.3,Persecution/control,no,"control of host plants to combat timber diseases, etc.",,
43,5.2.4,Motivation Unknown/Unrecorded,yes?,,,"It is not known if the use is intentional, unintentional or if it is persecution/control."
44,5.3,Logging & wood harvesting,yes,"Harvesting trees and other woody vegetation for timber, fibre, or fuel",,"Felling trees to clear agricultural land goes in the appropriate category in 2. Agriculture & Aquaculture. If it is a few timber species that are planted on a rotation cycle, it belongs in 2.2 Wood & Pulp Plantations. If it is multiple species or enrichment plantings in a quasi-natural system, it belongs here."
45,5.3.1,Intentional use: (subsistence/small scale) [harvest],yes,,,"Select the appropriate scale and list the specific product(s) harvested and the method used e.g., clear cutting of hardwoods, selective commercial logging of ironwood, pulp or woodchip operations, fuel wood collection, mangrove charcoal production, etc. If the intention of the harvest is not known, then 5.3.5 should be used."
46,5.3.2,Intentional use: (large scale) [harvest],yes?,,,"Select the appropriate scale and list the specific product(s) harvested and the method used e.g., clear cutting of hardwoods, selective commercial logging of ironwood, pulp or woodchip operations, fuel wood collection, mangrove charcoal production, etc. If the intention of the harvest is not known, then 5.3.5 should be used."
47,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],yes?,,,"Select the appropriate scale and list the specific product(s) harvested and the method used e.g., clear cutting of hardwoods, selective commercial logging of ironwood, pulp or woodchip operations, fuel wood collection, mangrove charcoal production, etc. If the intention of the harvest is not known, then 5.3.5 should be used."
48,5.3.4,Unintentional effects: (large scale) [harvest],yes?,,,"Select the appropriate scale and list the specific product(s) harvested and the method used e.g., clear cutting of hardwoods, selective commercial logging of ironwood, pulp or woodchip operations, fuel wood collection, mangrove charcoal production, etc. If the intention of the harvest is not known, then 5.3.5 should be used."
49,5.3.5,Motivation Unknown/Unrecorded,yes,,,"Select the appropriate scale and list the specific product(s) harvested and the method used e.g., clear cutting of hardwoods, selective commercial logging of ironwood, pulp or woodchip operations, fuel wood collection, mangrove charcoal production, etc. If the intention of the harvest is not known, then 5.3.5 should be used."
50,5.4,Fishing & harvesting aquatic resources,no,,,
51,5.4.1,Intentional use: (subsistence/small scale) [harvest],no,,,
52,5.4.2,Intentional use: (large scale) [harvest],no,,,
53,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],no,,,
54,5.4.4,Unintentional effects: (large scale) [harvest],no,,,
55,5.4.5,Persecution/control,no,,,
56,5.4.6,Motivation Unknown/Unrecorded,no,,,
57,6,Human intrusions & disturbance,no,"Threats from human activities that alter, destroy and disturb habitats and species associated with non-consumptive uses of biological resources",,"Non-consumptive use means that the resource is not removed - multiple people can use the same resource (for example, birdwatching). These threats typically do not permanently destroy habitat except perhaps in extremely severe manifestations."
58,6.1,Recreational activities,yes?,"People spending time in nature or traveling in vehicles outside of established transport corridors, usually for recreational reasons","off-road vehicles, motorboats, motorcycles, jet-skis, snowmobiles, ultralight planes, dive boats, whale watching, mountain bikes, hikers, cross-country skiers, hangliders, birdwatchers, scuba divers, pets brought into recreation areas, temporary campsites, caving, rock-climbing, etc.",This category does not include work involving consumptive use of biodiversity - for example disturbance impacts from loggers or hunters would be in the appropriate category in 5. Biological Resource Use. Vehicles and boats in established transport corridors go in 4. Transportation & Service Corridors. The development of permanent recreational or tourist facilities (such as hotels and resorts) should be included under section 1.3 Tourism & Recreation Areas rather than here.
59,6.2,"War, civil unrest & military exercises",no,Actions by formal or paramilitary forces without a permanent footprint,"armed conflict, mine fields, tanks & other military vehicles, training exercises & ranges, defoliation, munitions testing, etc.","This category focuses on military activities that have a large impact on natural habitats, but are not permanently restricted to a single area. Permanent military bases should go under 1.2 Commercial & Industrial Areas. Other military activities might best be assigned to other categories. For example, hunting of specific animals by soldiers living off the land fits under 5.1 Hunting & Collecting Terrestrial Animals."
60,6.3,Work & other activities,no,People spending time in or traveling in natural environments for reasons other than recreation or military activities,"law enforcement, drug smugglers, illegal immigrants, species research, vandalism, etc.",
61,7,Natural system modifications,no,"Threats from actions that convert or degrade habitat in service of “managing” natural or semi-natural systems, often to improve human welfare",,"This category deals primarily with changes to natural processes such as fire, hydrology, and sedimentation, rather than land use. Thus it does not include threats relating to agriculture (which should be under 2. Agriculture & Aquaculture), or infrastructure (1. Residential & Commercial Development and 4. Transportation & Service Corridors)."
62,7.1,Fire & fire suppression,no,Suppression or increase in fire frequency and/or intensity outside of its natural range of variation,,"This category focuses on the human activities that lead to either not enough fire or too much fire in the ecosystem in question. If fire escapes from established agricultural lands, it belongs here, if fire is used to clear new agricultural lands, it belongs in the appropriate category in 2. Agriculture & Aquaculture. It also includes damaging ""natural"" fires in systems that have lost their natural resilience."
63,7.1.1,Increase in fire frequency/intensity,no,,"List the specific source of fire e.g., inappropriate fire management, escaped agricultural fires, arson, campfires, fires for hunting, etc.",
64,7.1.2,Supression in fire frequency/intensity,no,,"List the specific source of lack of fire e.g., fire suppression to protect homes, inappropriate fire management, etc.",
65,7.1.3,Trend Unknown/Unrecorded,no,,,
66,7.2,Dams & water management/use,no,Changing water flow patterns from their natural range of variation either deliberately or as a result of other activities,,"This category focuses on the human activities that lead to either not enough water or too much water in the ecosystem in question. Note that homogenizing flows to a constant level may be outside the ""natural range of variation."" Dredging belongs in 4.3 Shipping Lanes."
67,7.2.1,Abstraction of surface water (domestic use),no,,,"List the specific source of the alteration e.g., change in salt regime, wetland filling for mosquito control, levees and dikes, surface water diversion, channelization, ditching, artificial lakes, etc."
68,7.2.2,Abstraction of surface water (commercial use),no,,,"List the specific source of the alteration e.g., change in salt regime, wetland filling for mosquito control, levees and dikes, surface water diversion, channelization, ditching, artificial lakes, etc."
69,7.2.3,Abstraction of surface water (agricultural use),no,,,"List the specific source of the alteration e.g., change in salt regime, wetland filling for mosquito control, levees and dikes, surface water diversion, channelization, ditching, artificial lakes, etc."
70,7.2.4,Abstraction of surface water (unknown use),no,,,"List the specific source of the alteration e.g., change in salt regime, wetland filling for mosquito control, levees and dikes, surface water diversion, channelization, ditching, artificial lakes, etc."
71,7.2.5,Abstraction of ground water (domestic use),no,,,"List the specific source of the alteration e.g., groundwater pumping, etc."
72,7.2.6,Abstraction of ground water (commercial use),no,,,"List the specific source of the alteration e.g., groundwater pumping, etc."
73,7.2.7,Abstraction of ground water (agricultural use),no,,,"List the specific source of the alteration e.g., groundwater pumping, etc."
74,7.2.8,Abstraction of ground water (unknown use),no,,,"List the specific source of the alteration e.g., groundwater pumping, etc."
75,7.2.9,Small dams,no,,,"List the specific source of the alteration e.g., dam construction, release of too little or cold water from dam operations, sediment control, etc. If dams are coded the following stresses may be appropriate: 1.1, 1.2, 1.3, 2.2"
76,7.2.10,Large dams,no,,,"List the specific source of the alteration e.g., dam construction, release of too little or cold water from dam operations, sediment control, etc. If dams are coded the following stresses may be appropriate: 1.1, 1.2, 1.3, 2.2"
77,7.2.11,Dams (size unknown),no,,,"List the specific source of the alteration e.g., dam construction, release of too little or cold water from dam operations, sediment control, etc. If dams are coded the following stresses may be appropriate: 1.1, 1.2, 1.3, 2.2"
78,7.3,Other ecosystem modifications,,Other actions that convert or degrade habitat in service of “managing” natural systems to improve human welfare,"land reclamation projects, abandonment of managed lands, rip-rap along shoreline, mowing grass, tree thinning in parks, beach construction, removal of snags from streams, etc.",This option includes both too much management (over-management) or too little (abondonement). The latter is particularly relevant when former agricultural lands are abandoned.
79,8,"Invasive and other problematic species, genes & diseases",yes?,"Threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance",,"After much deliberation it was decided to restrict the use of ""invasive species"" to refer to non-native species to keep things simple for policy makers. The term ""problematic native species"" is used instead to refer to native species that have become superabundant or otherwise cause problems. If possible, also record the source of the invasive species and/or conditions that exacerbate their effect. This is the class of threats that covers diseases. Where the Kingdom for a fungal disease is unknown, it should be coded under 8.1.1, 8.2.1 or 8.3.1 and the disease name should be noted in the text field."
80,8.1,Invasive non-native/alien species/diseases,yes,"Harmful plants, animals, pathogens and other microbes not originally found within the ecosystem(s) in question and directly or indirectly introduced and spread into it by human activities",,"We are defining non-native/alien/exotic species and diseases as those brought in either intentionally or accidentally by humans in the last 10,000 years. Note that for diseases, it is the infective agent which is considered to be the threat, with the disease being its manifestation in individuals. Domesticated livestock that has gone feral should be coded here, but there is a grey area concerning 'farmed' livestock which are allowed to roam wild; if these are rounded up periodically they could be considered ""farmed"" and coded under 2.3 Livestock Farming & Ranching, but if there is little to no management they might be better placed here."
81,8.1.1,Unspecified species,yes?,,,"Only to be used if it is known that there is a threat from an invasive, but the species involved have not been named or only named at a very general level - e.g. invasive plants, invasive animals, etc. There is a text box alongside the threat to provide further explanation/detail on this and some of the information might also be relevant for inclusion under the Threats narrative."
82,8.1.2,Named species,no,,"List the specific plant, animal, or microbe e.g., feral domesticated cattle, household pets, zebra mussels, Dutch elm disease or chestnut blight, Miconia tree, introduction of species for biocontrol, chytrid fungus affecting amphibians, etc.","A list of named taxa (e.g., species or a group of species like rats if it is unclear which species in particular is involved) is available to select from in the SIS database via the ""Quick Add"" function (this list has been compiled in collaboration with the IUCN SSC Invasive Species Specialist Group and links to the information held in the Global Invasive Species Database). In addition, any taxon already in the taxonomic hierarchy in the SIS database (at whatever taxonomic-level) can be added as a named invasive via the ""Quick Add"" function. Note, if the named disease is caused by viruses or prions, option 8.5 should be used instead and there is a separate list of those ""organisms""."
83,8.2,Problematic native species/diseases,no,"Harmful plants, animals, or pathogens and other microbes that are originally found within the ecosystem(s) in question, but have become “out-of-balance” or “released” directly or indirectly due to human activities",,"It is a bit of a judgement call as to when a species becomes ""problematic"" (also referred to as species being ""outside its natural range of variation""). Note that for diseases, it is the infective agent which is considered to be the threat, with the disease being its manifestation in individuals. This category will probably be fid ti"
84,8.2.1,Unspecified species,no,,,"Only to be used if it is known that there is a threat from a native taxon but the species involved have not been named or only named at a very general level - e.g. plants, animals, etc. There is a text box alongside the threat to provide further explanation/detail on this and some of the information might also be relevant for inclusion under the Threats narrative."
85,8.2.2,Named species,no,"List the specific plant, animal, or microbe e.g., over-abundant native deer, over-abundant algae due to loss of native grazing fish, native plants that hybridize with other plants, plague affecting rodents, etc.",,"A list of named taxa (e.g., species or a group of species like rats if it is unclear which species in particular is involved) is available to select from via the taxonomic hierarchy in the SIS database using the Quick Add function. Additions to the hierachy will be required for taxa which are not yet in the system."
86,8.3,Introduced genetic material,no,Human altered or transported organisms or genes,"pesticide resistant crops, hatchery salmon, restoration projects using non-local seed stock, genetically modified insects for biocontrol, genetically modified trees, genetically modified salmon, etc.","Hatchery fish are not necessarily invasive species, but they can upset the gene pool of native fish."
87,8.4,Problematic species/disease of unknown origin,no,"Harmful plants, animals, or pathogens and other microbes of unknown origin. It is not known if they were deliberately or accidentally introduced (see 8.2) or if they were originally found within the ecosystem(s) in question (see 8.3).",,"Efforts should be made to determine if the options under 8.2 or 8.3 could be used, but if the origin of the problematic taxon concerned is really unknown, then this option should be used. Note that for diseases, it is the infective agent which is considered to be the threat, with the disease being its manifestation in individuals."
88,8.4.1,Unspecified species,no,,,"Only to be used if it is known that there is a threat from a taxon of unknown origin and the taxon involved has not been named or only named at a very general level - e.g. plants, animals, etc. There is a text box alongside the threat to provide further explanation/detail on this and some of the information might also be relevant for inclusion under the Threats narrative."
89,8.4.2,Named species,no,,"List the specific plant, animal, or microbe","The named taxon can be selected from the taxonomic hierarchy in the SIS database via the ""Quick Add"" function. Additions to the hierachy will be required for taxa which are not yet in the system."
90,8.5,Viral/prion-induced diseases,no,"Viruses are small infectious agents that replicate only inside the living cells of an organism. Although viruses occur universally, each cellular species has its own specific range that often infect only that species. Most viruses co-exist harmlessly in their host and cause no signs or symptoms of disease. However, a number are important pathogens which can result in diseases which significantly reduce reproduction or increase mortality.Prions are infectious agents composed of protein in a misfolded form. They do not contain nucleic acids. All known prion diseases affect the structure of the brain and other neural tissue, they are mainly found in mammals, are currently untreatable and are universally fatal.",,"The intention here is not to record all know viruses or prions recorded for the species being assessed, but only those that are thought to be having a negative impact on the species concerned. Note that it is the infective agent which is considered to be the threat, with the disease being its manifestation in individuals."
91,8.5.1,Unspecified species,no,,,
92,8.5.2,Named species,no,,,
93,8.6,Diseases of unknown cause,no,"Occasionally plants and animals are impacted by diseases of unknown origin and often it may take many years to identify the pathogen responsible. For example, it is not known what causes white-band disease (WBD) in Acroporid corals, but the disease is having a huge impact in some parts of the world.",,"This option will be used in cases where a disease has been described, but the pathogen responsible is not yet known. Once the pathogen is identified the records will need to be recoded accordingly."
94,9,Pollution,no,Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources,,"This class deals with exotic or excess materials introduced to the environment. There is obviously a fine distinction when the pollution comes from another threat - for example, should an oil spill from a pipeline be classified as 4.2 Utility & Service Lines or 9.2 Industrial & Military Effluents? You will have to exercise some judgement here as to which represents the direct threat in your situation. In some cases, the source of the pollution may be either unknown or from a historical source (e.g., heavy metals buried in sediments). In these cases, you may have to make an educated guess as to which category to assign the pollutant."
95,9.1,Domestic & urban waste water,no,"Water-borne sewage and non-point runoff from housing and urban areas that include nutrients, toxic chemicals and/or sediments",,"This category does not include major industrial discharge, which falls under 9.2 Industrial & Military Effluents. It does include chemicals and next generation pollutants (caffeine or pharmaceuticals) in household waste streams. Technically, sewage from a pipe is ""point-source"" whereas a leaking septic system is ""nonpoint-source."" This category does not include agricultural runoff, which falls under 9.3 Agricultural & Forestry Effluents."
96,9.1.1,Sewage,no,,"List the source, and if possible, the specific pollutants of concern e.g., discharge from municipal waste treatment plants, leaking septic systems, untreated sewage, outhouses, etc.",
97,9.1.2,Run-off,no,,"List the source, and if possible, the specific pollutants of concern e.g., oil or sediment from roads, fertilizers and pesticides from lawns and golf-courses, road salt, etc.",
98,9.1.3,Type Unknown/Unrecorded,no,,,
99,9.2,Industrial & military effluents,no,"Water-borne pollutants from industrial and military sources including mining, energy production, and other resource extraction industries that include nutrients, toxic chemicals and/or sediments",,"The source of the pollution is often far from the system – an extreme example are the heavy metals that migrating eels bring to the Sargasso Sea. Often, the pollutants only become a problem when they bioconcentrate through the food chain. Oil spills from pipelines should generally go here."
100,9.2.1,Oil spills,no,,"List the source e.g., leakage from fuel tanks, oil spills from pipelines, PCBs in river sediments, etc.",
101,9.2.2,Seepage from mining,no,,"List the specific pollutants if possible e.g., mine tailings, arsenic from gold mining, etc.",
102,9.2.3,Type Unknown/Unrecorded,no,,,"There are other known examples of industrial pollution, which are not specifically captured under the classification scheme. These should be coded here for now, and the type/cause of the pollution noted in the text box. Examples include: toxic chemicals from factories, illegal dumping of chemicals, other industrial effluent, ship waste discharge, etc."
103,9.3,Agricultural & forestry effluents,no,"Water-borne pollutants from agricultural, silivicultural, and aquaculture systems that include nutrients, toxic chemicals and/or sediments including the effects of these pollutants on the site where they are applied",,Wind erosion of agricultural sediments or smoke from forest fires goes in 9.5 Air-Borne Pollutants.
104,9.3.1,Nutrient loads,no,,"List the source and specific pollutant of concern: e.g., nutrient loading from fertilizer run-off, manure from feedlots, nutrients from aquaculture, etc.",
105,9.3.2,"Soil erosion, sedimentation",no,,"List the source and specific pollutant of concern: e.g., soil erosion from overgrazing, increased run-off and hence sedimentation due to conversion of forests to agricultural lands, etc.",
106,9.3.3,Herbicides and pesticides,no,,"List the source and specific pollutant of concern: e.g., herbicide run-off from orchards, etc.",
107,9.3.4,Type Unknown/Unrecorded,no,,,
108,9.4,Garbage & solid waste,no,Rubbish and other solid materials including those that entangle wildlife,"municipal waste, litter from cars, flotsam & jetsam from recreational boats, waste that entangles wildlife, construction debris, etc.","This category generally is for solid waste outside of designated landfills - landfills themselves should go in 1.2 Commercial & Industrial Areas. Likewise, toxins leaching from solid waste - for example, mercury leaking out of a landfill into groundwater - should go in 9.2 Industrial & Military Effluents."
109,9.5,Air-borne pollutants,no,,,
110,9.5.1,Acid rain,no,,,
111,9.5.2,Smog,no,,,
112,9.5.3,Ozone,no,,,
113,9.5.4,Type Unknown/Unrecorded,no,,,
114,9.6,Excess energy,no,,,
115,9.6.1,Light pollution,no,,,
116,9.6.2,Thermal pollution,no,,,
117,9.6.3,Noise pollution,no,,,
118,9.6.4,Type Unknown/Unrecorded,no,,,
119,10,Geological events,no,Threats from catastrophic geological events,,"Strictly speaking, geological events may be part of natural disturbance regimes in many ecosystems. But they need to be considered a threat if a species or habitat is damaged from other threats and has lost its resilience and is thus vulnerable to the disturbance."
120,10.1,Volcanoes,no,,,
121,10.2,Earthquakes/tsunamis,no,,,
122,10.3,Avalanches/landslides,no,,,
123,11,Climate change & severe weather,no,"Threats from long-term climatic changes which may be linked to global warming and other severe climatic/weather events that are outside of the natural range of variation, or potentially can wipe out a vulnerable species or habitat",,Strictly speaking climatic events may be part of natural disturbance regimes in many ecosystems. But they are a threat if a species or habitat is damaged from other threats and has lost its resilience and is thus vulnerable to the disturbance. Many climatic events may also be increasing in frequency or intensity outside their natural range of variation due to human causes.
124,11.1,Habitat shifting & alteration,no,Major changes in habitat composition and location,"sea-level rise, desertification, tundra thawing, coral bleaching, etc.",This category focuses primarily on the habitat effects of climate change.
125,11.2,Droughts,no,,,
126,11.3,Temperature extremes,no,,,
127,11.4,Storms & flooding,no,,,
128,11.5,Other impacts,no,,,
129,12,Other options,,"The threats classification scheme is intended to be comprehensive, but as there are often new and emerging threats, this option allows for these new threats to be recorded",,
130,12.1,Other threat,,,,
131,100,100 ***Records Not Migrated from Previous Threat Classification Scheme***,no,,,
132,100.1,OLD 1 Habitat Loss/Degradation (human induced),no,,,
133,100.1,OLD 1.4.5 Habitat Loss->Infrastructure->Transport - water,no,,,
134,100.11,OLD 1.4.9 Habitat Loss/Degradation (human induced)->Infrastructure development->Other,no,,,
135,100.12,OLD 1.4.10 Habitat Loss/Degradation (human induced)->Infrastructure development->Unknown,no,,,
136,100.13,OLD 1.8 Habitat Loss/Degradation (human induced)->Other causes,no,,,
137,100.14,OLD 1.9 Habitat Loss/Degradation (human induced)->Unknown causes,no,,,
138,100.15,OLD 3 Harvesting (hunting/gathering),no,,,
139,100.16,OLD 4 Accidental mortality,no,,,
140,100.17,OLD 4.1 Accidental mortality->Bycatch,no,,,
141,100.18,OLD 4.1.1 Accidental mortality->Bycatch->Fisheries related,no,,,
142,100.19,OLD 4.1.1.1 Accidental mortality->Bycatch->Fisheries related->Hooking,no,,,
143,100.2,OLD 1.1 Habitat Loss/Degradation (human induced)->Agriculture,no,,,
144,100.2,OLD 4.1.1.2 Accidental mortality->Bycatch->Fisheries related->Netting,no,,,
145,100.21,OLD 4.1.1.3 Accidental mortality->Bycatch->Fisheries related->Entanglement,no,,,
146,100.22,OLD 4.1.1.4 Accidental mortality->Bycatch->Fisheries related->Dynamite,no,,,
147,100.23,OLD 4.1.1.5 Accidental mortality->Bycatch->Fisheries related->Poisoning,no,,,
148,100.24,OLD 4.1.3 Accidental mortality->Bycatch->Other,no,,,
149,100.25,OLD 4.1.4 Accidental mortality->Bycatch->Unknown,no,,,
150,100.26,OLD 4.2 Accidental mortality->Collision,no,,,
151,100.27,OLD 4.2.1 Accidental maortality->Collision->Pylon and building collision,no,,,
152,100.28,OLD 4.2.2 Accidental maortality->Collision->Vehicle collision,no,,,
153,100.29,OLD 4.2.3 Accidental mortality->Collision->Other,no,,,
154,100.3,OLD 1.1.8 Habitat Loss/Degradation (human induced)->Agriculture->Other,no,,,
155,100.3,OLD 4.2.4 Accidental mortality->Collision->Unknown,no,,,
156,100.31,OLD 4.3 Accidental mortality->Other,no,,,
157,100.32,OLD 4.4 Accidental mortality->Unknown,no,,,
158,100.33,OLD 5 Persecution,no,,,
159,100.34,OLD 5.1 Persecution->Pest control,no,,,
160,100.35,OLD 5.2 Persecution->Other,no,,,
161,100.36,OLD 5.3 Persecution->Unknown,no,,,
162,100.37,OLD 6 Pollution (affecting habitat and/or species),no,,,
163,100.38,OLD 6.1.1 Pollution (affecting habitat and/or species)->Atmospheric pollution->Global warming/oceanic warming,no,,,
